time,Tfluid_avg,Tfluid_max,Tfluid_out,Tfuel_avg,Tfuel_max,Tfuel_min,Tmod_avg,Tmod_max,Tmod_min,Trpv_avg,Trpv_max,Trpv_min,Tsleeve_avg,Tsleeve_max,Tsleeve_min,Tsolid_avg,Tsolid_fuel_avg,Tsolid_fuel_max,Tsolid_fuel_min,Tsolid_max,Tsolid_min,Tsolid_pr_avg,Tsolid_pr_max,Tsolid_pr_min,bison_total_bdy_heat_flux,bison_total_power,decay_heat_pp,delta_H,gap_cond_max,gap_cond_min,net_heat_src_avg,net_heat_src_max,net_heat_src_min,net_heat_src_tot,pdens_avg,ptot,ptot_decay,rpv_convective_in,rpv_convective_out,rpv_radiative_out
0,523.15000000001,591.20555555556,0,0,0,0,0,0,0,400.00000000001,400,400,0,0,0,523.15000000001,523.14999999999,561.21706996787,485.08293003213,592.32818107898,453.97181892102,523.15000000004,592.32818107898,453.97181892102,0,0,574720,0,100,100,0,0,0,0,862838.34999999,8425279.6639164,574719.99999999,0,0,0
0.1,523.15000000001,591.20555555556,0,0,0,0,0,0,0,400.00438962924,400.05033541599,399.986814001,0,0,0,523.15020143174,523.15050811255,561.21727697644,485.0831250787,592.32686530727,453.97355819922,523.14985371033,592.35246533092,453.95523437177,0,0,574720,0,100,100,2780.5876233714,32745.727354977,-21271.278970325,74937.733429584,862838.34999999,8425279.6639164,574719.99999999,-147196.23048013,24325.272053306,85797.108510962
