time,H_in,H_out,Tout,Tout_weighted,avg_Hw_inner,avg_Hw_outer,avg_T,avg_Twall,avg_Twall1,avg_Twall2,delta_H,max_T,max_Twall1,max_Twall2,mdot_in,mdot_out,min_Twall1,min_Twall2
0,2611273.1359206,2611273.1359206,500,15.911949685535,0,0,500,510,510,510,1.8375755855872e-10,500,510,510,3.7834396342507e-05,3.7834396342507e-05,510,510
0.01,2446379.1373142,2546414.5855592,487.60920346624,15.517626223517,1332.0130109017,912.63793752286,493.82335409587,510,510,510,39475.623677266,497.29879355303,510,510,0.011732037852338,0.054137842385992,510,510
0.03,2351653.9271611,2550471.5807215,488.41262194699,15.543194132401,655.99354974267,425.23399561307,494.43218597476,510,510,510,78456.697201194,503.28528445106,510,510,0.012071626534418,-0.00052353376075294,510,510
0.07,2357140.4084993,2555701.5768138,489.41956573943,15.575239010324,424.27402898445,293.39685763539,499.04748013061,510,510,510,78355.483929049,510.36960176854,510,510,0.011954739674133,0.0057529584899786,510,510
0.15,2368245.9363641,2566080.4396268,491.41793337942,15.638834861006,664.06531379537,450.24208298353,500.31777493005,510,510,510,78068.73001705,513.79794055986,510,510,0.011968017800801,0.011875123414024,510,510
0.31,2369861.6609304,2596138.0140022,497.20726528414,15.823073976967,668.21082328372,452.84843571549,499.26431932908,510,510,510,89292.349038589,515.34201989163,510,510,0.011957992724041,0.011765162048794,510,510
0.63,2369648.5903804,2665008.2889881,510.47218671365,16.245215501705,683.07869352779,462.24902105512,497.37533895929,510,510,510,116553.76685185,515.77758485732,510,510,0.011957481413722,0.011828443851977,510,510
1.27,2369571.5738811,2687600.9219122,514.82404718612,16.383708671458,693.79890002846,469.01466932294,496.40134898872,510,510,510,125499.58121296,514.82404718612,510,510,0.011958084860136,0.012018148522568,510,510
2.55,2369572.2330345,2664113.3843975,510.29977595456,16.239728719057,687.67736072573,465.17817759601,496.88947271602,510,510,510,116230.75472402,510.29977595456,510,510,0.011958072822908,0.011993990102889,510,510
5.11,2369574.462053,2661024.6449548,509.70482251953,16.22079498081,685.81908762149,464.00499442661,497.05514768493,510,510,510,115011.0080251,510.00825465967,510,510,0.011958045668988,0.011958264019058,510,510
10.23,2369574.3802231,2662555.7598272,509.99974839751,16.230180672273,686.30867466457,464.3115353576,497.01590628976,510,510,510,115615.24328223,510.01133526095,510,510,0.011958047627401,0.011962379798621,510,510
20.47,2369574.3219942,2662580.1471885,510.00444575471,16.230330160496,686.34787842738,464.3364642608,497.0122011115,510,510,510,115624.88991191,510.00444575471,510,510,0.011958048385653,0.011963391909378,510,510
40.95,2369574.3219942,2662580.1471885,510.00444575471,16.230330160496,686.34787842738,464.3364642608,497.0122011115,510,510,510,115624.88991191,510.00444575471,510,510,0.011958048385653,0.011963391909378,510,510
50,2369574.3219942,2662580.1471885,510.00444575471,16.230330160496,686.34787842738,464.3364642608,497.0122011115,510,510,510,115624.88991191,510.00444575471,510,510,0.011958048385653,0.011963391909378,510,510
