time,NI_avg,NXe_avg,Tf_avg,Tf_max,Tm_avg,Tm_max,integrated_power,power_scaling,Executioner/eigenvalue
0,0,0,619.99999999999,620,523.14999999999,593.15,8425280,7.121339186412e+17,1
1,6.4433515234536e-11,5.9171705884867e-11,619.99999999999,620,523.14999999999,593.15,8425280,7.2955151104515e+17,0.97692385725793
2,6.4431538555685e-11,5.6380531048765e-11,619.99999999999,620,523.14999999999,593.15,8425280,7.0187432620594e+17,1.015420710814
