time,average_density,average_mu,inlet_mfr,outlet_mfr,pressure_drop,volume
0,0,0,0,0,0,0
0.001,8.4629618989056,1.9912419370908e-05,-58.861127757631,-185.43722386848,-73047.647556151,45.238934211693
0.003,8.4894710183379,1.9912419370908e-05,-58.903566425443,-174.92208837783,-69034.189304584,45.238934211693
0.007,8.5329342073236,1.9912419370908e-05,-59.060714646499,-132.61869832329,-54171.262873418,45.238934211693
0.015,8.5941037722693,1.9912419370908e-05,-59.59259443556,-75.281485451378,-3851.4476197436,45.238934211693
0.031,8.6288103298571,1.9912419370908e-05,-59.992563742218,21.72670946645,34004.052213383,45.238934211693
0.047,8.6325990533126,1.9912419370908e-05,-60.048008075656,55.870265343719,39252.681366031,45.238934211693
0.079,8.6297722697625,1.9912419370908e-05,-60.018450009432,61.577011920165,36454.540005252,45.238934211693
0.143,8.6282684420324,1.9912419370908e-05,-60.001944254209,60.416513738977,34892.039043033,45.238934211693
0.271,8.628055858757,1.9912419370908e-05,-59.999617866829,60.028919857817,34671.815698849,45.238934211693
0.527,8.6280465063482,1.9912419370908e-05,-59.999515728058,60.000160283834,34662.146923136,45.238934211693
1.039,8.6280464595464,1.9912419370908e-05,-59.999515220513,59.999516831812,34662.098877323,45.238934211693
2.063,8.6280464638004,1.9912419370908e-05,-59.999515269655,59.99951519636,34662.103529259,45.238934211693
4.111,8.6280464643531,1.9912419370908e-05,-59.999515277095,59.999515272333,34662.104233528,45.238934211693
8.207,8.6280464646078,1.9912419370908e-05,-59.999515280586,59.999515279489,34662.104563973,45.238934211693
13.207,8.628046464654,1.9912419370908e-05,-59.999515281219,59.999515281056,34662.104623909,45.238934211693
18.207,8.628046464654,1.9912419370908e-05,-59.999515281219,59.999515281056,34662.104623909,45.238934211693
23.207,8.628046464654,1.9912419370908e-05,-59.999515281219,59.999515281056,34662.104623909,45.238934211693
28.207,8.628046464654,1.9912419370908e-05,-59.999515281219,59.999515281056,34662.104623909,45.238934211693
33.207,8.628046464654,1.9912419370908e-05,-59.999515281219,59.999515281056,34662.104623909,45.238934211693
38.207,8.628046464654,1.9912419370908e-05,-59.999515281219,59.999515281056,34662.104623909,45.238934211693
43.207,8.628046464654,1.9912419370908e-05,-59.999515281219,59.999515281056,34662.104623909,45.238934211693
48.207,8.628046464654,1.9912419370908e-05,-59.999515281219,59.999515281056,34662.104623909,45.238934211693
53.207,8.628046464654,1.9912419370908e-05,-59.999515281219,59.999515281056,34662.104623909,45.238934211693
58.207,8.628046464654,1.9912419370908e-05,-59.999515281219,59.999515281056,34662.104623909,45.238934211693
63.207,8.628046464654,1.9912419370908e-05,-59.999515281219,59.999515281056,34662.104623909,45.238934211693
68.207,8.628046464654,1.9912419370908e-05,-59.999515281219,59.999515281056,34662.104623909,45.238934211693
73.207,8.628046464654,1.9912419370908e-05,-59.999515281219,59.999515281056,34662.104623909,45.238934211693
78.207,8.628046464654,1.9912419370908e-05,-59.999515281219,59.999515281056,34662.104623909,45.238934211693
83.207,8.628046464654,1.9912419370908e-05,-59.999515281219,59.999515281056,34662.104623909,45.238934211693
88.207,8.628046464654,1.9912419370908e-05,-59.999515281219,59.999515281056,34662.104623909,45.238934211693
93.207,8.628046464654,1.9912419370908e-05,-59.999515281219,59.999515281056,34662.104623909,45.238934211693
98.207,8.628046464654,1.9912419370908e-05,-59.999515281219,59.999515281056,34662.104623909,45.238934211693
100,8.6280464642844,1.9912419370908e-05,-59.999515276132,59.999515279769,34662.104142362,45.238934211693
