time,enthalpy_balance,heat_source_integral,inlet_mfr,mass_flux_weighted_Tf_out,outlet_mfr,pressure_drop
0,0,0,0,0,0,0
0.003,1173690596.0316,200000044.52336,59.593175109359,533.25,-483.27243900961,-337157.52017192
0.006,926022514.36224,200000044.52336,59.634358552578,533.25,-393.91030705773,-333304.9006447
0.0108,593981825.33482,200000044.52336,59.78285147156,533.25,-274.19862968335,-319413.14045282
0.01848,349851680.64531,200000044.52336,60.511616453265,533.25,-186.80120506481,-251222.84227299
0.030768,169311957.08211,200000044.52336,62.020249828444,533.25,-123.13854249314,-109991.21609307
0.043056,15767096.007448,200000044.52336,63.189637096454,533.25,-68.881249223932,-453.97576694656
0.055344,-162328094.2298,200000044.52336,63.81324210945,533.25,-5.2159868309741,57982.487592441
0.067632,-67781309.725687,200000044.52336,64.055431155509,533.25004739348,39.587705472598,80681.729626298
0.07992,-24711176.824032,200000044.52336,64.14174266958,533.25033491391,55.221458270251,88771.885907036
0.092208,-12052007.200019,200000044.52336,64.189151012456,533.25108368746,59.838491406151,93215.698134284
0.104496,-7661256.0069165,200000044.52336,64.226858718822,533.25254227869,61.46100268561,96750.289040422
0.116784,-5562849.617139,200000044.52336,64.25627111221,533.2549961011,62.24760839992,99507.346417854
0.129072,-4191890.0114071,200000044.52336,64.277394010837,533.25875167011,62.763173943856,101487.38553945
0.14136,-3135238.5451423,200000044.52336,64.292024334672,533.26411434414,63.158593054028,102858.8280406
0.153648,-2298631.2405568,200000044.52336,64.302135866133,533.27136622685,63.469832008629,103806.68534542
0.165936,-1653302.0469613,200000044.52336,64.309158939208,533.28074891011,63.708675709848,104465.03232105
0.178224,-1169065.1890896,200000044.52336,64.314009552838,533.29245281029,63.886913839645,104919.73286355
0.1978848,-717201.69438121,200000044.52336,64.319240945722,533.3175329701,64.052233375869,105410.12905443
0.22934208,-303383.42919677,200000044.52336,64.322469088625,533.3738560089,64.198042584195,105712.7390778
0.279673728,25889.44566372,200000044.52336,64.321628138781,533.4994611248,64.300892945772,105633.90738015
0.3602043648,234339.57475981,200000044.52336,64.317419054143,533.76363788011,64.340037331096,105239.34292175
0.48905338368,410761.64050531,200000044.52336,64.311968691831,534.27674650825,64.336369082668,104728.42074303
0.695211813888,697496.24469113,200000044.52336,64.306813263957,535.21196060487,64.321939155357,104245.14712603
0.901370244096,1007064.7991977,200000044.52336,64.305140044126,536.21909671147,64.310594017234,104088.29849819
1.2312237324288,1586213.8768957,200000044.52336,64.303606314276,537.97506594222,64.306387002801,103944.52584586
1.7589893137613,2640320.375019,200000044.52336,64.302409152175,541.14265109977,64.303751003125,103832.30330078
2.6034142438932,4656628.6800957,200000044.52336,64.301610641299,547.18531390466,64.30216672033,103757.45054399
3.9544941321044,8790193.4267306,200000044.52336,64.30110885529,559.56257330678,64.301325350031,103710.41291874
6.1162219532422,17761369.268859,200000044.52336,64.30079755787,586.42020362096,64.300880902605,103681.23177675
9.5749864670628,36863136.091046,200000044.52336,64.300604298759,643.60459097106,64.300636484919,103663.11559405
15.109009689176,71596847.720045,200000044.52336,64.300484045204,747.58535439554,64.300496525533,103651.84298072
23.963446844556,118208997.90524,200000044.52336,64.300409094709,887.12604562552,64.300413947473,103644.81709354
38.130546293165,159976485.59031,200000044.52336,64.300362331427,1012.1635808795,64.300364221624,103640.43348628
60.79790541094,184043160.71108,200000044.52336,64.300333135794,1084.2110510292,64.300333872838,103637.69667695
97.065679999378,193195421.94345,200000044.52336,64.300314900761,1111.609902042,64.300315188349,103635.98731833
155.09411934088,195815085.08906,200000044.52336,64.300303508637,1119.4523693523,64.300303620898,103634.91941644
247.93962228728,196661894.90267,200000044.52336,64.300296390424,1121.9874902583,64.300296434257,103634.25215261
396.49242700153,197160155.35968,200000044.52336,64.300291942265,1123.4791505159,64.300291959383,103633.83518054
634.17691454432,197581931.85998,200000044.52336,64.30028916245,1124.7418288836,64.300289169135,103633.57459966
1014.4720946128,197964028.14776,200000044.52336,64.300287425176,1125.8857088311,64.300287427788,103633.41174701
1622.9443827223,198317200.31893,200000044.52336,64.300286339424,1126.9429939958,64.300286340444,103633.30996814
2596.5000436976,198657924.50647,200000044.52336,64.300285660846,1127.963010462,64.300285661244,103633.24635802
4154.1891012581,198998935.4071,200000044.52336,64.30028523674,1128.9838829052,64.300285236896,103633.20660219
6646.4915933548,199328416.00332,200000044.52336,64.300284971677,1129.9702361455,64.300284971737,103633.18175506
10634.17558071,199608643.41483,200000044.52336,64.300284806016,1130.8091414934,64.30028480604,103633.16622601
17014.469960477,199805614.78169,200000044.52336,64.300284702477,1131.3988065058,64.300284702486,103633.15652015
27222.940968105,199917597.01014,200000044.52336,64.300284637764,1131.7340431143,64.300284637768,103633.15045398
43556.49458031,199969963.09515,200000044.52336,64.300284597319,1131.8908094122,64.300284597321,103633.14666268
69690.180359839,199990719.38266,200000044.52336,64.300284572041,1131.9529467834,64.300284572042,103633.1442931
111504.07760708,199997678.31349,200000044.52336,64.300284556246,1131.9737795591,64.300284556246,103633.14281242
178406.31320268,199999574.18108,200000044.52336,64.300284546372,1131.979455222,64.300284546372,103633.14188686
285449.89015562,199999974.02884,200000044.52336,64.300284540198,1131.9806522852,64.300284540198,103633.14130806
456719.61328034,200000036.89342,200000044.52336,64.300284536341,1131.9808405159,64.300284536341,103633.14094656
500000,200000041.95817,200000044.52336,64.300284555351,1131.980855501,64.300284555351,103633.14272857
