time,cr_mfr_fraction,enthalpy_balance,heat_source_integral,inlet_mfr,mass_flux_weighted_Tf_out,outlet_mfr,pressure_drop
0,0,0,0,0,0,0,0
0.01,0.34334980655083,-135480430.50816,200000044.52336,63.799310743554,533.25000000018,14.893535009585,101319.6823458
0.02,0.61384270846325,-74911873.550157,200000044.52336,63.674273975495,533.25000070176,36.632558205587,89511.64154882
0.032,0.88221976556685,-22149125.449494,200000044.52336,63.643862387788,533.25007485589,55.648455108579,86639.774909466
0.0464,1.134601071086,9605089.9265442,200000044.52336,63.733596750985,533.25125726784,67.200687210345,95113.79828658
0.06368,1.3628325470576,27998013.128341,200000044.52336,63.856097142055,533.25934758996,73.961533732842,106682.60947009
0.08096,1.5376907652245,39553448.22158,200000044.52336,63.947617706195,533.28282526746,78.220820983339,115326.12672829
0.101696,1.6967582545178,49160248.733972,200000044.52336,64.021876756417,533.3517860918,81.752156712391,122339.6643203
0.1265792,1.8360487774864,56660613.434824,200000044.52336,64.079320578744,533.52041587582,84.489844137183,127765.21369326
0.15643904,1.9520127052229,61806295.735221,200000044.52336,64.119456944144,533.86946182847,86.330029140788,131556.16149696
0.192270848,2.0417514115596,64749578.071984,200000044.52336,64.143255423179,534.4980087634,87.312237977738,133804.00000297
0.2352690176,2.1045346493224,65935948.732932,200000044.52336,64.153983049615,535.51423954657,87.583675972329,134817.26458585
0.28686682112,2.1429266900548,65933376.225701,200000044.52336,64.156066559473,537.03805246987,87.336309339469,135014.06046997
0.348784185344,2.162501023575,65281010.40654,200000044.52336,64.153644265318,539.22315024926,86.747117694214,134785.26506385
0.4230850224128,2.1701399530198,64403402.102845,200000044.52336,64.149826573585,542.29894701061,85.939840538957,134424.6692529
0.51224602689536,2.17207809258,63620506.198756,200000044.52336,64.146612515486,546.63220565364,84.97975209545,134121.08945526
0.61923923227443,2.1728367637741,63216445.70597,200000044.52336,64.145227069705,552.81400650074,83.887440009449,133990.2290573
0.74763107872932,2.1752415740883,63519750.873362,200000044.52336,64.146503125951,561.78085204216,82.653611546631,134110.75721254
0.90170129447518,2.1809492471834,64967610.301775,200000044.52336,64.151088095152,574.96604133688,81.247170065666,134543.82479693
1.0865855533702,2.190859544897,68135979.351885,200000044.52336,64.159882618983,594.43030416723,79.620674218417,135374.50310593
1.3084466640443,2.20535451912,73730825.057122,200000044.52336,64.172978997068,622.8256121015,77.731056187454,136611.51491969
1.5746799968531,2.2241368531653,82452710.936124,200000044.52336,64.189901375825,662.92729688728,75.575129906279,138209.92031817
1.8941599962237,2.246088251776,94735822.846029,200000044.52336,64.209574042542,716.49268711954,73.23971109661,140068.11955001
2.2775359954685,2.2692954878874,110380987.85187,200000044.52336,64.230262126423,782.61915293779,70.913586064427,142022.24835817
2.7375871945622,2.2913707880815,128271403.04049,200000044.52336,64.249818742525,856.55235933945,68.825372275828,143869.5188604
3.2896486334746,2.3100933209231,146463040.89459,200000044.52336,64.266256804965,930.25332174126,67.146290277262,145422.23071312
3.9521223601695,2.3241194559131,162780680.73506,200000044.52336,64.278402680898,995.07071856315,65.935579269031,146569.51706918
4.7470908322034,2.3333378736015,175640812.65349,200000044.52336,64.286224959451,1045.0916305335,65.152390514404,147308.40433799
5.7010529986441,2.3386518340922,184561954.18178,200000044.52336,64.290612382235,1078.9757540852,64.70007570778,147722.83851736
6.845807598373,2.3413918428716,190060887.21475,200000044.52336,64.292793463875,1099.2823404563,64.468861496901,147928.86290513
8.2195131180476,2.3427438806868,193134065.40195,200000044.52336,64.293815717908,1110.2580547742,64.364847775616,148025.4248158
9.8679597416571,2.3434713618212,194750273.03415,200000044.52336,64.294335878543,1115.8150218373,64.323364501145,148074.55910175
11.846095689988,2.3439533947179,195602421.91722,200000044.52336,64.294673256618,1118.6320644073,64.308176986893,148106.42778381
14.219858827986,2.3443417732557,196094148.23352,200000044.52336,64.294951043968,1120.2025699015,64.302647229178,148132.66753864
17.068374593583,2.3446874549536,196426876.37189,200000044.52336,64.295207403897,1121.2401700375,64.300385477591,148156.88326511
20.4865935123,2.3450058650884,196689381.11009,200000044.52336,64.295451789583,1122.0478327392,64.299251446467,148179.96790863
24.58845621476,2.345301858143,196916966.14166,200000044.52336,64.295685786659,1122.7429509851,64.298572459193,148202.07124756
29.510691457712,2.3455772941375,197122649.98859,200000044.52336,64.295909088424,1123.368347565,64.298127034644,148223.16431064
35.417373749255,2.345833140541,197311203.56043,200000044.52336,64.296121023301,1123.9398018227,64.297828777859,148243.18366063
42.505392499105,2.3460702354049,197484734.93947,200000044.52336,64.296321104388,1124.4643616149,64.297635063732,148262.08330433
51.011014998927,2.3462897035538,197644719.66015,200000044.52336,64.296509351895,1124.9468950018,64.297519974967,148279.86515044
61.217761998712,2.346493153959,197792675.64004,200000044.52336,64.29668643985,1125.3922690157,64.297465279113,148296.59286752
73.465858398454,2.346682672777,197930316.51684,200000044.52336,64.296853658094,1125.8058677571,64.297457012717,148312.38829348
88.163574078145,2.3468606819685,198059498.9328,200000044.52336,64.297012750251,1126.1934556593,64.297484185656,148327.41613083
105.80083289377,2.3470297762434,198182122.50317,200000044.52336,64.297165735146,1126.5608838268,64.297538354537,148341.86707745
126.96554347253,2.3471926299239,198300073.29081,200000044.52336,64.297314799563,1126.9139229658,64.297613441209,148355.94769685
152.36319616703,2.3473519827555,198415227.88982,200000044.52336,64.297462270415,1127.258279991,64.297705463606,148369.87778905
182.84037940044,2.3475106168158,198529460.31247,200000044.52336,64.297610579609,1127.5996266412,64.297812058427,148383.88707205
