time,enthalpy_balance,heat_source_integral,inlet_mfr,outlet_mfr,pressure_drop
0,0,0,0,0,0
0.05,-97523801.982104,200000039.20716,-59.212002248712,-3.3633730153541,10633.982265742
0.15,-5595152.6564113,200000039.20716,-59.44424347631,55.846235343472,32814.153931287
0.35,2533604.797818,200000039.20716,-59.465879039519,61.043763583287,34880.687150781
0.75,4801094.6119117,200000039.20716,-59.475332419423,62.315866401877,35783.644524791
1.55,7338631.9602495,200000039.20716,-59.487228809699,63.165996756854,36919.961327016
3.15,10922636.875461,200000039.20716,-59.504969672866,63.193322913994,38614.551350978
6.35,17750793.364919,200000039.20716,-59.536755535966,62.525153002162,41650.772420412
12.75,32121656.858924,200000039.20716,-59.594400005759,61.589452876052,47157.253506585
25.55,60457770.898129,200000039.20716,-59.6878283745,60.751632751668,56082.581675604
51.15,105834956.92944,200000039.20716,-59.808340295003,60.247146122018,67596.321121258
102.35,155512223.6914,200000039.20716,-59.915549629651,60.051744674492,77840.156567008
204.75,187302803.63938,200000039.20716,-59.972785793553,60.00221213715,83309.459766804
409.55,198032243.477,200000039.20716,-59.989384441371,59.993253880123,84895.624648036
819.15,199844145.99884,200000039.20716,-59.991857342231,59.992139208895,85131.936757692
1638.35,199993906.28083,200000039.20716,-59.992041892675,59.992051856931,85149.572545932
3276.75,199999920.81226,200000039.20716,-59.992048680271,59.992048858764,85150.221174159
6553.55,200000038.09672,200000039.20716,-59.992048803711,59.992048805285,85150.232970172
10000,200000038.09672,200000039.20716,-59.992048803711,59.992048805285,85150.232970172
