time,SiC_stress,ave_gas_temp,buffer_void_volume,fis_gas_released,gap_volume,gas_pressure,initial_moles,kernel_th_density,kernel_void_volume,max_burnup,max_fluence,particle_power,strength_IPyC,strength_SiC
0,0,973.15,4.6324487501874e-11,0,-2.558282226519e-23,0,0,11212.655575986,7.7136588291793e-13,0,0,0.10138278985428,0,0
86400,-5828944.7101112,1249.0276604477,4.6672886895611e-11,3.74449399055e-12,-7.3137609691814e-13,0,0,11212.655575986,1.1555956465926e-12,0.00027031087135804,5.0112e+22,0.10138278985428,1.7976931348623e+308,1.7976931348623e+308
