time,dT,flow_hx_bot,flow_hx_top,heat_exchanger_T_ambient,max_flow_T,max_v,mdot,min_flow_T,pump,total_fission_source,total_power,total_power_density,lambda
0,0,0,0,873.15,0,0,0,0,0,0,2999968514.8766,323621199.01582,0
0.25,121.23361844966,-4.4884073743722,4.4884073743722,949.99995310819,4844.6095399645,2.033792587445,19228.337191811,-4300.4636728932,1,63.130037723808,2994847019.581,323068718.40141,3.8226695310494e-14
0.5,112.99877040676,-4.4908937771312,4.4908937771312,949.99949961435,4846.1476134845,2.0351010013277,19238.98894123,-4338.6821386413,1,63.389570421636,2994965182.656,323081465.22719,3.1376096613997e-14
