time,dT,flow_hx_bot,flow_hx_top,heat_exchanger_T_ambient,max_flow_T,max_v,mdot,min_flow_T,pump,total_fission_source,total_power,total_power_density,lambda
0,0,0,0,873.15,0,0,0,0,0,0,2999968514.8766,323621199.01582,0
0.1,109.39942765426,-4.4844415885302,4.4844415885302,949.99999999984,4839.1497250546,2.0323510927947,19211.347765263,-4348.5543819204,1,63.130037213009,2999968514.8766,323621199.01582,4.7227495615715e-14
0.2,107.5818192014,-4.4851484031264,4.4851484031264,950.00000000041,4839.6462537988,2.0326619500531,19214.375758994,-4357.1258292022,1,63.130037213009,2999968514.8766,323621199.01582,3.5437653948439e-13
