time,Core_P_in,Core_P_out,Core_T_in,Core_T_out,FliBe_mass_flow,FliBe_mass_flow2,Fuel_mass_flow,Gas_mass_flow,HX2_Tin_p,HX2_Tout_p,HX2_Tout_s,HX_Pin_s,HX_Tin_p,HX_Tout_p,HX_Tout_s,HX_Uout_s,HX_cold_temp,core_power,core_power_balance,Core_In_Branch:pressure,Core_In_Branch:rho,Core_In_Branch:temperature,Core_In_Branch:velocity,Core_Out_Branch:pressure,Core_Out_Branch:rho,Core_Out_Branch:temperature,Core_Out_Branch:velocity,IHX1_P3:pressure,IHX1_P3:rho,IHX1_P3:temperature,IHX1_P3:velocity,IHX1_P4:pressure,IHX1_P4:rho,IHX1_P4:temperature,IHX1_P4:velocity,J_IHX2_P6:pressure,J_IHX2_P6:rho,J_IHX2_P6:temperature,J_IHX2_P6:velocity,J_P2_IHX1:pressure,J_P2_IHX1:rho,J_P2_IHX1:temperature,J_P2_IHX1:velocity,J_P4_P5:pressure,J_P4_P5:rho,J_P4_P5:temperature,J_P4_P5:velocity,J_P5_IHX2:pressure,J_P5_IHX2:rho,J_P5_IHX2:temperature,J_P5_IHX2:velocity,J_P6_P7:pressure,J_P6_P7:rho,J_P6_P7:temperature,J_P6_P7:velocity,P8_IHX1:pressure,P8_IHX1:rho,P8_IHX1:temperature,P8_IHX1:velocity,pump2:pressure,pump2:pump_head,pump2:rho,pump2:temperature,pump2:velocity,pump:pressure,pump:pump_head,pump:rho,pump:temperature,pump:velocity
0,100000,100000,950,950,-18739.7205264,46.7908128,143.58907976,-18.240359936296,950,950,950,100000,950,950,950,-2.67,950,3000000000,0,100000,4145.66,950,0.01,100000,4145.66,950,0.01,100000,4145.66,950,0.01,100000,1949.6172,950,0.01,100000,1949.6172,950,0.01,100000,4145.66,950,0.01,100000,1949.6172,950,0.01,100000,1949.6172,950,0.01,100000,1949.6172,950,0.01,100000,1949.6172,950,0.01,100000,176000,1949.6172,950,0.01,100000,156010.45,4145.66,950,0.01
0.1,242473.23422922,103714.50405828,952.80969590867,955.06114596604,-7576.2524733979,7794.1796312256,4017.3493023051,-2558.896622875,949.34033213984,943.55017391972,904.92007490692,83060.057768339,950.00000088463,949.99999999476,950.00000000053,-1.0794501486219,950.00000000055,3000000000,458418655.19732,242938.26666013,4145.660000016,949.99999998187,0.43261133571273,102602.72122035,4141.2165006181,955.03798115865,0.47678366814081,280021.91319355,4145.6599999855,950.0000000165,0.4326113356738,98308.707132575,1949.5840752702,950.06787854476,1.1105000013207,-5294.9869607486,1952.7647152839,943.55017359848,1.0794501708014,227295.05487978,4145.6599987093,950.00000146333,0.43261133568235,49072.841287906,1949.6171736705,950.00005395379,1.1105000005441,46197.327694861,1949.617195775,950.00000865777,1.1105000010468,-28428.816298685,1949.6058092148,950.02334177289,1.0794501468324,84195.917057188,1949.6171996362,950.00000074555,1.0794501483287,106302.04565435,176000,1949.6172372188,949.99992373206,1.0794501466282,221945.79017174,156010.45,4145.6595153155,950.00054952888,0.43261133844705
0.2,238143.01770135,105083.58539791,952.87657993501,960.09557711746,-10840.47934879,11040.143315546,7609.4258784822,-2582.8655894877,949.85922330111,936.80068286299,899.50540834455,238657.85341488,950.00003860549,950.00000000611,950.00000014475,-1.5445310306375,950.00000000096,3000000000,515164388.65132,239813.21200468,4145.6600000019,949.99999999788,0.81942685225574,101447.08610845,4136.813010455,960.0306003912,0.86330888796979,277730.29560664,4145.6599999949,950.00000000582,0.81942685225581,97206.735120691,1949.639809247,949.9536695758,1.572978785198,103546.68082931,1956.0584667629,936.80068286293,1.5445309246873,225693.02418719,4145.65995122,950.00005530614,0.81942685296064,78924.156762354,1949.6171904782,950.00001951197,1.5729787851177,77359.566223784,1949.6171884553,950.00002365714,1.5729787851174,95698.356582328,1949.6107681356,950.01318004995,1.5445310361571,240983.33351864,1949.6172002867,949.99999941259,1.5445310305567,246729.60108591,176000,1949.6171615024,950.00007888851,1.5445310361508,220893.41492709,156010.45,4145.6582346106,950.00200157527,0.81942686207786
0.3,235022.37464266,106934.77866205,951.06714873493,965.09507241564,-13194.113503108,13380.719661773,10612.944802595,-2571.3034248287,950.16669281429,929.90687637663,899.80260115212,191607.22665814,950.00041164911,949.9999999649,950.00000223771,-1.8798723816802,950.00000000628,3000000000,641807794.09243,238263.20690246,4145.6599999731,950.00000003053,1.1428630873344,100072.449467,4132.2874934169,965.16157208969,1.1864881156056,276706.49788853,4145.6599999349,950.00000007377,1.1428630872722,96112.567169932,1949.7139278107,949.80178727321,1.9064596673503,68697.008119214,1959.4226443357,929.90687636119,1.8798729329309,224345.63127792,4145.65955432,950.00050530616,1.1428630991459,66986.386669438,1949.617289051,949.99981751846,1.9064596675203,62669.137865931,1949.6172073177,949.99998500478,1.9064596674246,56491.225873656,1949.7019103789,949.82641315807,1.8798724100951,195052.1224335,1949.6172016029,949.99999671541,1.8798723794005,204132.30963615,176000,1949.6167199147,950.00098378132,1.8798724100356,220195.58627255,156010.45,4145.6557362208,950.00483421676,1.142863109182
0.4,231437.3873517,108759.44832698,949.50278926472,970.05758697489,-14734.658639834,14922.33950215,12954.830116915,-2572.2621309833,950.11849542459,923.1559127174,900.17918277558,194014.37057548,950.00176837037,950.00000000383,950.00001443383,-2.0993663591707,950.00000000881,3000000000,801686131.67122,236261.67211576,4145.6600000109,949.99999998763,1.3950508006394,98684.209852427,4127.951193765,970.07801160428,1.438406704663,275453.51888198,4145.6599999967,950.0000000038,1.3950508006395,95242.042719249,1949.8082498183,949.60850447079,2.1261066744779,69231.009089618,1962.7171145939,923.1559127174,2.0993673901506,222734.64835264,4145.6582577326,950.00197535988,1.3950508706625,65716.914641488,1949.6173847572,949.99962139914,2.1261066743565,60086.325577266,1949.6172775091,949.9998411699,2.1261066743564,57428.469928215,1950.063508403,949.08543360034,2.0993663250767,198310.68258146,1949.6171967722,950.00000661441,2.0993663474367,206208.14809274,176000,1949.6168165617,950.00078573423,2.099366327848,219266.88806701,156010.45,4145.6538774899,950.00694162142,1.395050862739
0.5,228362.47387715,110319.24282656,949.05987156817,974.98310414535,-15670.203631322,15866.103489709,14677.879095294,-2572.0100238893,950.02751128233,916.8360625829,900.4028530153,195540.02313479,950.00397628259,950.00000057902,950.00005249283,-2.232661101688,950.00000004033,3000000000,955650905.44169,234554.5532735,4145.6600000029,949.99999999668,1.580598649216,97494.115969262,4123.6440096191,974.96144034114,1.6237152456992,274434.92533756,4145.6599994893,950.00000057902,1.5805986492159,94632.969163458,1949.9323682918,949.35416333644,2.2605722958266,69562.620787482,1965.8012014596,916.83606258289,2.2326613885384,221309.45294926,4145.6563550417,950.00413260577,1.5805988649902,64845.191171087,1949.6173657276,949.99966039428,2.2605722955585,58340.372526774,1949.6173504483,949.99969170434,2.2605722955585,58010.419030145,1951.0334294192,947.09789053439,2.2326604225954,200399.22497553,1949.6171734283,950.00005445021,2.2326610584681,207526.84709961,176000,1949.6259045098,949.98216288967,2.2326604419367,218435.61505225,156010.45,4145.6557217537,950.0048506194,1.5805988339994
0.6,225973.90446834,111518.52619849,949.37907873224,979.87217777036,-16204.381117514,16410.26816134,15887.302997277,-2571.8828249839,950.00152586593,911.12240494401,900.43500497205,196411.21514704,950.00503931997,949.99999923165,950.00012516092,-2.3087696267306,950.00000000684,3000000000,1093997373.4406,233229.38743504,4145.6599999898,950.00000001152,1.7108363881721,96572.360156195,4119.3681822144,979.80931721726,1.7537483799221,273669.37526952,4145.6600006742,949.99999923565,1.7108363881457,94242.186770989,1950.0870203472,949.03725338689,2.338103809957,69736.033972556,1968.5894663877,911.12240494324,2.3087670117981,220187.1053649,4145.6556947056,950.00488128621,1.7108367881706,64293.885800241,1949.617366051,949.99965973165,2.3381038097395,57260.566361894,1949.617379508,949.99963215582,2.3381038097608,58326.721133149,1952.9628884319,943.14408108217,2.308766391303,201607.35156051,1949.6173085685,949.99977752364,2.3087694991692,208275.00559027,176000,1949.6767694928,949.87793136726,2.3087664545249,217777.51439971,156010.45,4145.6607226383,949.99918068221,1.7108367672267
0.7,224241.99965728,112377.85565654,949.83386063891,984.72536384421,-16493.130916529,16708.857303866,16705.24906185,-2571.7785851128,950.00780884034,906.06672481493,900.23018627487,196857.67308835,950.00363104145,949.99996270062,950.00021719165,-2.3499084778422,949.99999775784,3000000000,1228342374.5852,232264.63824353,4145.6599999838,950.00000001835,1.7989175364397,95913.372719678,4114.9807556919,984.78372370534,1.8416632029712,273126.57743025,4145.6600328991,949.9999626994,1.7989175364325,94001.230506311,1950.2557362474,948.69152408321,2.3806459488823,69805.677171325,1971.0566382909,906.06672481371,2.3498988717686,219377.00369894,4145.6570944237,950.00329430417,1.7989180671562,63958.100969691,1949.6181436769,949.99806623586,2.3806459485943,56626.877842771,1949.6176043319,949.99917145093,2.3806459486113,58471.650540924,1955.9583507635,937.0058385993,2.3498985451661,202240.63895413,1949.6189877608,949.99633655564,2.3499079991259,208649.43116816,176000,1949.8516546563,949.51956013043,2.3498986403829,217304.51143871,156010.45,4145.6592617669,950.00083699893,1.7989181143398
0.8,223040.36203378,112952.21772724,950.09002444086,989.54324472914,-16640.968033106,16865.98102213,17242.753986401,-2571.6808487641,950.01141038998,901.6554320713,899.81367913087,197053.50765286,950.00611335209,949.99970309024,950.0003312785,-2.3709628261871,949.99997863315,3000000000,1362328253.2972,231587.78615889,4145.660000019,949.99999997844,1.8567991657732,95457.972516145,4110.7627433359,989.56605063953,1.8993502453496,272749.46450274,4145.6602618741,949.99970309063,1.8567991657909,93851.54729149,1950.4310772641,948.33221872109,2.4030309195775,69818.189992628,1973.2093491506,901.65543206849,2.3709396536814,218816.31649305,4145.6541590421,950.00662240125,1.8568001337131,63753.996248101,1949.6216543791,949.99087217405,2.4030309191488,56263.582276115,1949.6189961928,949.99631927703,2.4030309191268,58519.871489131,1959.7481937738,929.23976685692,2.3709394545962,202533.38964686,1949.6279159683,949.97804104864,2.3709606753453,208802.77106528,176000,1950.3002945675,948.60021605013,2.3709394725587,216975.95658398,156010.45,4145.6247548757,950.03996045837,1.856800334857
0.9,222228.13780191,113321.4238549,950.13086081799,994.32646345014,-16712.114275037,16945.692285231,17588.56077306,-2571.5918618647,950.00217410266,897.87031741828,899.24132994655,197112.38142987,950.0371947742,949.99850963301,950.00068552537,-2.381066017494,949.99987817739,3000000000,1496710266.2716,231121.6760931,4145.6600001848,949.99999979049,1.8940376342938,95155.990781373,4106.5778680548,994.31080719411,1.9364260176529,272491.40763469,4145.6613145052,949.99850963125,1.8940376343037,93753.582137946,1950.6082361245,947.96918826949,2.414382024951,69803.996401684,1975.0564850985,897.87031742104,2.3810198624133,218443.69019996,4145.6239540153,950.04086846342,1.8940413704158,63625.770805095,1949.6317454817,949.97019368509,2.4143820244973,56053.906206438,1949.6238367199,949.98640016424,2.4143820245015,58520.043453256,1963.796859194,920.94332132378,2.3810196705924,202639.15141364,1949.6607940949,949.91066783832,2.3810572481794,208835.87331907,176000,1951.2280717703,946.6990332575,2.3810194890934,216757.96362202,156010.45,4145.4952031283,950.1868445257,1.8940419128609
