time,dT,flow_hx_bot,flow_hx_top,heat_exchanger_T_ambient,max_flow_T,max_v,mdot,min_flow_T,pump,total_fission_source,total_power,total_power_density,lambda
0,0,0,0,873.15,0,0,0,0,0,0,2999968505.0812,323621197.95914,0
0.125,111.78589055308,-4.4849767458968,4.4849767458968,950.00000000007,4839.927250866,2.0323900634329,19213.640379422,-4338.570131216,1,63.123019834687,2999968505.0812,323621197.95914,1.1224131406218e-13
0.25,121.23170203065,-4.4884403815111,4.4884403815111,949.99999999973,4844.5885658526,2.0337954982708,19228.478594393,-4300.4472989389,1,63.275024734441,3012764154.0922,325001526.87078,-1.4213447854538e-13
0.5,112.99538621473,-4.4910312739171,4.4910312739171,949.99994994715,4846.2480234473,2.0351443962939,19239.577977461,-4338.7822101486,1,64.178759100701,3037510722.5501,327671059.60627,-1.4839551156588e-13
0.75,106.94321966709,-4.4916500867658,4.4916500867658,949.99820442763,4846.2191752266,2.035396491259,19242.228971705,-4365.8676533299,1,65.339415582076,3073961193.8382,331603149.28136,-9.2932107039591e-14
1,102.82345059416,-4.4908641910559,4.4908641910559,949.98443320128,4845.0344971309,2.034867513604,19238.862194484,-4383.2683448568,1,66.87661863211,3137485933.8348,338455872.04259,7.1376070783801e-14
1.25,100.2959898191,-4.4893019298284,4.4893019298284,949.92363051875,4843.279003213,2.033862217376,19232.169467385,-4393.0200225641,1,68.208418957712,3193944916.7527,344546377.21172,-1.3941395919637e-13
1.5,98.926153509934,-4.4875043726204,4.4875043726204,949.73520738857,4841.4704111747,2.0326114643144,19224.468732306,-4397.5388647324,1,69.01434534326,3239930565.717,349507072.89288,-8.7581357615657e-14
1.75,98.324746541745,-4.4858499679024,4.4858499679024,949.28176816412,4839.9758479389,2.031258415599,19217.381262494,-4398.9057868206,1,69.130292611106,3261946870.9204,351882078.84793,-3.3208182219309e-14
2,98.240972049541,-4.4845652984507,4.4845652984508,948.38807779706,4839.0070897877,2.0298954111647,19211.877738563,-4398.4390356482,1,68.697024642882,3260209594.3192,351694670.36885,-2.952204721525e-14
2.25,98.569755955181,-4.4837600284559,4.4837600284559,946.90099214695,4838.6466888897,2.0286069670827,19208.427961905,-4396.6835571232,1,67.940586485398,3238129060.3764,349312735.74719,-1.6838953612891e-13
2.5,99.303653062015,-4.4834697812945,4.4834697812945,944.78523108605,4838.8929678693,2.0274970056881,19207.184543066,-4393.6680401936,1,67.100691058852,3205049928.1502,345744328.81879,1.9575554313338e-13
2.75,100.45934251733,-4.4836829404487,4.4836829404487,942.18899813424,4839.6953585288,2.0266836515258,19208.097716882,-4389.2675182751,1,66.339268935788,3169488309.7727,341908124.03158,-3.8986141340434e-13
3,102.00844859393,-4.4843517595068,4.4843517595068,939.42277644581,4840.9739336136,2.0262701144888,19210.962937727,-4383.5321676768,1,65.76684805601,3139022787.6446,338621659.94008,-1.8009911054154e-13
3.25,103.84117894186,-4.4853912507137,4.4853912507137,936.92444049788,4842.621825849,2.026308778929,19215.416118058,-4376.8535103593,1,65.443630606603,3118016140.3757,336355570.69856,-2.5245766424362e-13
3.5,105.7555562306,-4.4866759294211,4.4866759294211,935.12492871829,4844.4979518648,2.0267767501503,19220.91968164,-4370.0070433225,1,65.401502431444,3109135183.2412,335397538.64522,-2.2897838939767e-13
3.75,107.49295536625,-4.4880439815746,4.4880439815746,934.31963050938,4846.4253567538,2.0275730304468,19226.780417066,-4363.9922453606,1,65.647868374148,3113222321.9094,335838438.17793,3.3417131179793e-16
4,108.80156239718,-4.4893148553698,4.4893148553698,934.61753035765,4848.2051188772,2.0285377333203,19232.224840404,-4359.7606485201,1,66.162956703352,3129978561.4442,337646015.25827,-1.6051008163517e-13
4.25,109.49329103229,-4.4903154049594,4.4903154049594,935.91925942206,4849.642335933,2.0294840595074,19236.511194846,-4357.982924471,1,66.894601372008,3157555645.672,340620889.50076,-1.5522658896268e-13
4.5,109.4865516341,-4.4909097400223,4.4909097400223,937.95592096976,4850.5813116816,2.0302339069677,19239.057326256,-4358.8870905465,1,67.765722378563,3193150028.9028,344460628.7921,1.9618302517822e-13
4.75,108.82051794516,-4.491023094178,4.491023094178,940.36296862866,4850.9367409008,2.0306478665323,19239.542935459,-4362.2212816887,1,68.668451320842,3232500052.105,348705507.23894,1.0613746992822e-13
5,107.63979267046,-4.4906544003188,4.4906544003188,942.79509096027,4850.7119339108,2.0306451117905,19237.963450966,-4367.3388253058,1,69.486065602918,3270918511.7193,352849893.38935,2.1488290875503e-13
5.25,106.147615431,-4.4898719167211,4.4898719167211,944.97571410077,4849.9948557408,2.0302099886897,19234.611291233,-4373.4056581902,1,70.109555629312,3303603848.8354,356375819.72334,2.939825991411e-13
