time,Pin,Pout,Tavg,Tin,Tout,Twall_avg,Twall_max,Twall_min,delta_p_core,delta_t_core,htc_avg,htc_max,htc_min,max_tcool
0,100000,100000,623.15,623.15,623.15,800,800,800,0,0,131875.93726636,131875.93726636,131875.93726636,623.15
1,647151.25731225,100000,793.24124000038,623.15,800.00003621186,800,800,800,547151.25731225,176.85003621186,121162.53513893,131875.93726636,120746.04691193,800.00004748108
