time,axial_pressure_28
0,0
10000000,663323.71193101
20000000,386025.953021
30000000,663530.46377978
40000000,663322.95127884
50000000,663323.89865821
60000000,663323.89865821
70000000,663323.89865821
80000000,663323.89865821
90000000,663323.89865821
100000000,663323.89865821
110000000,663323.89865821
120000000,663323.89865821
130000000,663323.89865821
140000000,663323.89865821
150000000,663323.89865821
160000000,663323.89865821
170000000,663323.89865821
180000000,663323.89865821
190000000,663323.89865821
200000000,663323.89865821
210000000,663323.89865821
220000000,663323.89865821
230000000,663323.89865821
240000000,663323.89865821
250000000,663323.89865821
260000000,663323.89865821
270000000,663323.89865821
280000000,663323.89865821
290000000,663323.89865821
300000000,663323.89865821
310000000,663323.89865821
315576000,663323.89865821
