time,axial_pow_13
0,0
10000000,4391502.4457729
20000000,4391502.4457729
30000000,4391502.4457729
40000000,4391502.4457729
50000000,4391502.4457729
60000000,4391502.4457729
70000000,4391502.4457729
80000000,4391502.4457729
90000000,4391502.4457729
100000000,4391502.4457729
110000000,4391502.4457729
120000000,4391502.4457729
130000000,4391502.4457729
140000000,4391502.4457729
150000000,4391502.4457729
160000000,4391502.4457729
170000000,4391502.4457729
180000000,4391502.4457729
190000000,4391502.4457729
200000000,4391502.4457729
210000000,4391502.4457729
220000000,4391502.4457729
230000000,4391502.4457729
240000000,4391502.4457729
250000000,4391502.4457729
260000000,4391502.4457729
270000000,4391502.4457729
280000000,4391502.4457729
290000000,4391502.4457729
300000000,4391502.4457729
310000000,4391502.4457729
315576000,4391502.4457729
