time,axial_temp_24
0,0
10000000,825.8870937418
20000000,837.0626840994
30000000,837.05497480522
40000000,837.0550146667
50000000,837.0550146667
60000000,837.0550146667
70000000,837.0550146667
80000000,837.0550146667
90000000,837.0550146667
100000000,837.0550146667
110000000,837.0550146667
120000000,837.0550146667
130000000,837.0550146667
140000000,837.0550146667
150000000,837.0550146667
160000000,837.0550146667
170000000,837.0550146667
180000000,837.0550146667
190000000,837.0550146667
200000000,837.0550146667
210000000,837.0550146667
220000000,837.0550146667
230000000,837.0550146667
240000000,837.0550146667
250000000,837.0550146667
260000000,837.0550146667
270000000,837.0550146667
280000000,837.0550146667
290000000,837.0550146667
300000000,837.0550146667
310000000,837.0550146667
315576000,837.0550146667
