time,axial_pressure_5
0,0
10000000,946477.61998679
20000000,541789.94878991
30000000,946786.56633501
40000000,946476.76149405
50000000,946477.86507148
60000000,946477.86507148
70000000,946477.86507148
80000000,946477.86507148
90000000,946477.86507148
100000000,946477.86507148
110000000,946477.86507148
120000000,946477.86507148
130000000,946477.86507148
140000000,946477.86507148
150000000,946477.86507148
160000000,946477.86507148
170000000,946477.86507148
180000000,946477.86507148
190000000,946477.86507148
200000000,946477.86507148
210000000,946477.86507148
220000000,946477.86507148
230000000,946477.86507148
240000000,946477.86507148
250000000,946477.86507148
260000000,946477.86507148
270000000,946477.86507148
280000000,946477.86507148
290000000,946477.86507148
300000000,946477.86507148
310000000,946477.86507148
315576000,946477.86507148
