time,axial_temp_30
0,0
10000000,815.80510307308
20000000,824.72865091386
30000000,824.7200655022
40000000,824.72011400781
50000000,824.72011400781
60000000,824.72011400781
70000000,824.72011400781
80000000,824.72011400781
90000000,824.72011400781
100000000,824.72011400781
110000000,824.72011400781
120000000,824.72011400781
130000000,824.72011400781
140000000,824.72011400781
150000000,824.72011400781
160000000,824.72011400781
170000000,824.72011400781
180000000,824.72011400781
190000000,824.72011400781
200000000,824.72011400781
210000000,824.72011400781
220000000,824.72011400781
230000000,824.72011400781
240000000,824.72011400781
250000000,824.72011400781
260000000,824.72011400781
270000000,824.72011400781
280000000,824.72011400781
290000000,824.72011400781
300000000,824.72011400781
310000000,824.72011400781
315576000,824.72011400781
