time,axial_pressure_26
0,0
10000000,768638.83373765
20000000,467863.52061185
30000000,768850.36293614
40000000,768638.02913287
50000000,768639.04278437
60000000,768639.04278437
70000000,768639.04278437
80000000,768639.04278437
90000000,768639.04278437
100000000,768639.04278437
110000000,768639.04278437
120000000,768639.04278437
130000000,768639.04278437
140000000,768639.04278437
150000000,768639.04278437
160000000,768639.04278437
170000000,768639.04278437
180000000,768639.04278437
190000000,768639.04278437
200000000,768639.04278437
210000000,768639.04278437
220000000,768639.04278437
230000000,768639.04278437
240000000,768639.04278437
250000000,768639.04278437
260000000,768639.04278437
270000000,768639.04278437
280000000,768639.04278437
290000000,768639.04278437
300000000,768639.04278437
310000000,768639.04278437
315576000,768639.04278437
