time,axial_pressure_8
0,0
10000000,1030136.3505213
20000000,626874.47536249
30000000,1030391.7086607
40000000,1030135.4648573
50000000,1030136.6161619
60000000,1030136.6161619
70000000,1030136.6161619
80000000,1030136.6161619
90000000,1030136.6161619
100000000,1030136.6161619
110000000,1030136.6161619
120000000,1030136.6161619
130000000,1030136.6161619
140000000,1030136.6161619
150000000,1030136.6161619
160000000,1030136.6161619
170000000,1030136.6161619
180000000,1030136.6161619
190000000,1030136.6161619
200000000,1030136.6161619
210000000,1030136.6161619
220000000,1030136.6161619
230000000,1030136.6161619
240000000,1030136.6161619
250000000,1030136.6161619
260000000,1030136.6161619
270000000,1030136.6161619
280000000,1030136.6161619
290000000,1030136.6161619
300000000,1030136.6161619
310000000,1030136.6161619
315576000,1030136.6161619
