time,axial_pressure_7
0,0
10000000,1006681.8984552
20000000,600484.56790055
30000000,1006964.728133
40000000,1006680.8706392
50000000,1006682.1588132
60000000,1006682.1588132
70000000,1006682.1588132
80000000,1006682.1588132
90000000,1006682.1588132
100000000,1006682.1588132
110000000,1006682.1588132
120000000,1006682.1588132
130000000,1006682.1588132
140000000,1006682.1588132
150000000,1006682.1588132
160000000,1006682.1588132
170000000,1006682.1588132
180000000,1006682.1588132
190000000,1006682.1588132
200000000,1006682.1588132
210000000,1006682.1588132
220000000,1006682.1588132
230000000,1006682.1588132
240000000,1006682.1588132
250000000,1006682.1588132
260000000,1006682.1588132
270000000,1006682.1588132
280000000,1006682.1588132
290000000,1006682.1588132
300000000,1006682.1588132
310000000,1006682.1588132
315576000,1006682.1588132
