time,axial_pressure_10
0,0
10000000,1063836.0057302
20000000,669646.84423233
30000000,1064077.9332873
40000000,1063835.1710188
50000000,1063836.2783356
60000000,1063836.2783356
70000000,1063836.2783356
80000000,1063836.2783356
90000000,1063836.2783356
100000000,1063836.2783356
110000000,1063836.2783356
120000000,1063836.2783356
130000000,1063836.2783356
140000000,1063836.2783356
150000000,1063836.2783356
160000000,1063836.2783356
170000000,1063836.2783356
180000000,1063836.2783356
190000000,1063836.2783356
200000000,1063836.2783356
210000000,1063836.2783356
220000000,1063836.2783356
230000000,1063836.2783356
240000000,1063836.2783356
250000000,1063836.2783356
260000000,1063836.2783356
270000000,1063836.2783356
280000000,1063836.2783356
290000000,1063836.2783356
300000000,1063836.2783356
310000000,1063836.2783356
315576000,1063836.2783356
