time,axial_pow_23
0,0
10000000,3667556.7926954
20000000,3667556.7926954
30000000,3667556.7926954
40000000,3667556.7926954
50000000,3667556.7926954
60000000,3667556.7926954
70000000,3667556.7926954
80000000,3667556.7926954
90000000,3667556.7926954
100000000,3667556.7926954
110000000,3667556.7926954
120000000,3667556.7926954
130000000,3667556.7926954
140000000,3667556.7926954
150000000,3667556.7926954
160000000,3667556.7926954
170000000,3667556.7926954
180000000,3667556.7926954
190000000,3667556.7926954
200000000,3667556.7926954
210000000,3667556.7926954
220000000,3667556.7926954
230000000,3667556.7926954
240000000,3667556.7926954
250000000,3667556.7926954
260000000,3667556.7926954
270000000,3667556.7926954
280000000,3667556.7926954
290000000,3667556.7926954
300000000,3667556.7926954
310000000,3667556.7926954
315576000,3667556.7926954
