time,axial_pow_15
0,0
10000000,4418321.9311543
20000000,4418321.9311543
30000000,4418321.9311543
40000000,4418321.9311543
50000000,4418321.9311543
60000000,4418321.9311543
70000000,4418321.9311543
80000000,4418321.9311543
90000000,4418321.9311543
100000000,4418321.9311543
110000000,4418321.9311543
120000000,4418321.9311543
130000000,4418321.9311543
140000000,4418321.9311543
150000000,4418321.9311543
160000000,4418321.9311543
170000000,4418321.9311543
180000000,4418321.9311543
190000000,4418321.9311543
200000000,4418321.9311543
210000000,4418321.9311543
220000000,4418321.9311543
230000000,4418321.9311543
240000000,4418321.9311543
250000000,4418321.9311543
260000000,4418321.9311543
270000000,4418321.9311543
280000000,4418321.9311543
290000000,4418321.9311543
300000000,4418321.9311543
310000000,4418321.9311543
315576000,4418321.9311543
