time,axial_pressure_17
0,0
10000000,1066975.4886902
20000000,699338.59974952
30000000,1067189.8695964
40000000,1066974.7646556
50000000,1066975.7626732
60000000,1066975.7626732
70000000,1066975.7626732
80000000,1066975.7626732
90000000,1066975.7626732
100000000,1066975.7626732
110000000,1066975.7626732
120000000,1066975.7626732
130000000,1066975.7626732
140000000,1066975.7626732
150000000,1066975.7626732
160000000,1066975.7626732
170000000,1066975.7626732
180000000,1066975.7626732
190000000,1066975.7626732
200000000,1066975.7626732
210000000,1066975.7626732
220000000,1066975.7626732
230000000,1066975.7626732
240000000,1066975.7626732
250000000,1066975.7626732
260000000,1066975.7626732
270000000,1066975.7626732
280000000,1066975.7626732
290000000,1066975.7626732
300000000,1066975.7626732
310000000,1066975.7626732
315576000,1066975.7626732
