time,axial_pow_16
0,0
10000000,4398848.9617171
20000000,4398848.9617171
30000000,4398848.9617171
40000000,4398848.9617171
50000000,4398848.9617171
60000000,4398848.9617171
70000000,4398848.9617171
80000000,4398848.9617171
90000000,4398848.9617171
100000000,4398848.9617171
110000000,4398848.9617171
120000000,4398848.9617171
130000000,4398848.9617171
140000000,4398848.9617171
150000000,4398848.9617171
160000000,4398848.9617171
170000000,4398848.9617171
180000000,4398848.9617171
190000000,4398848.9617171
200000000,4398848.9617171
210000000,4398848.9617171
220000000,4398848.9617171
230000000,4398848.9617171
240000000,4398848.9617171
250000000,4398848.9617171
260000000,4398848.9617171
270000000,4398848.9617171
280000000,4398848.9617171
290000000,4398848.9617171
300000000,4398848.9617171
310000000,4398848.9617171
315576000,4398848.9617171
