time,axial_pow_14
0,0
10000000,4415827.0278574
20000000,4415827.0278574
30000000,4415827.0278574
40000000,4415827.0278574
50000000,4415827.0278574
60000000,4415827.0278574
70000000,4415827.0278574
80000000,4415827.0278574
90000000,4415827.0278574
100000000,4415827.0278574
110000000,4415827.0278574
120000000,4415827.0278574
130000000,4415827.0278574
140000000,4415827.0278574
150000000,4415827.0278574
160000000,4415827.0278574
170000000,4415827.0278574
180000000,4415827.0278574
190000000,4415827.0278574
200000000,4415827.0278574
210000000,4415827.0278574
220000000,4415827.0278574
230000000,4415827.0278574
240000000,4415827.0278574
250000000,4415827.0278574
260000000,4415827.0278574
270000000,4415827.0278574
280000000,4415827.0278574
290000000,4415827.0278574
300000000,4415827.0278574
310000000,4415827.0278574
315576000,4415827.0278574
