time,axial_pressure_20
0,0
10000000,1011428.4524507
20000000,653445.81704529
30000000,1011651.0194739
40000000,1011427.6636709
50000000,1011428.7156964
60000000,1011428.7156964
70000000,1011428.7156964
80000000,1011428.7156964
90000000,1011428.7156964
100000000,1011428.7156964
110000000,1011428.7156964
120000000,1011428.7156964
130000000,1011428.7156964
140000000,1011428.7156964
150000000,1011428.7156964
160000000,1011428.7156964
170000000,1011428.7156964
180000000,1011428.7156964
190000000,1011428.7156964
200000000,1011428.7156964
210000000,1011428.7156964
220000000,1011428.7156964
230000000,1011428.7156964
240000000,1011428.7156964
250000000,1011428.7156964
260000000,1011428.7156964
270000000,1011428.7156964
280000000,1011428.7156964
290000000,1011428.7156964
300000000,1011428.7156964
310000000,1011428.7156964
315576000,1011428.7156964
