time,axial_pow_8
0,0
10000000,3948703.3663526
20000000,3948703.3663526
30000000,3948703.3663526
40000000,3948703.3663526
50000000,3948703.3663526
60000000,3948703.3663526
70000000,3948703.3663526
80000000,3948703.3663526
90000000,3948703.3663526
100000000,3948703.3663526
110000000,3948703.3663526
120000000,3948703.3663526
130000000,3948703.3663526
140000000,3948703.3663526
150000000,3948703.3663526
160000000,3948703.3663526
170000000,3948703.3663526
180000000,3948703.3663526
190000000,3948703.3663526
200000000,3948703.3663526
210000000,3948703.3663526
220000000,3948703.3663526
230000000,3948703.3663526
240000000,3948703.3663526
250000000,3948703.3663526
260000000,3948703.3663526
270000000,3948703.3663526
280000000,3948703.3663526
290000000,3948703.3663526
300000000,3948703.3663526
310000000,3948703.3663526
315576000,3948703.3663526
