time,axial_pow_2
0,0
10000000,3210880.0839504
20000000,3210880.0839504
30000000,3210880.0839504
40000000,3210880.0839504
50000000,3210880.0839504
60000000,3210880.0839504
70000000,3210880.0839504
80000000,3210880.0839504
90000000,3210880.0839504
100000000,3210880.0839504
110000000,3210880.0839504
120000000,3210880.0839504
130000000,3210880.0839504
140000000,3210880.0839504
150000000,3210880.0839504
160000000,3210880.0839504
170000000,3210880.0839504
180000000,3210880.0839504
190000000,3210880.0839504
200000000,3210880.0839504
210000000,3210880.0839504
220000000,3210880.0839504
230000000,3210880.0839504
240000000,3210880.0839504
250000000,3210880.0839504
260000000,3210880.0839504
270000000,3210880.0839504
280000000,3210880.0839504
290000000,3210880.0839504
300000000,3210880.0839504
310000000,3210880.0839504
315576000,3210880.0839504
