time,axial_pressure_27
0,0
10000000,715557.99882359
20000000,427488.81455606
30000000,715758.00044885
40000000,715557.22865781
50000000,715558.19690242
60000000,715558.19690242
70000000,715558.19690242
80000000,715558.19690242
90000000,715558.19690242
100000000,715558.19690242
110000000,715558.19690242
120000000,715558.19690242
130000000,715558.19690242
140000000,715558.19690242
150000000,715558.19690242
160000000,715558.19690242
170000000,715558.19690242
180000000,715558.19690242
190000000,715558.19690242
200000000,715558.19690242
210000000,715558.19690242
220000000,715558.19690242
230000000,715558.19690242
240000000,715558.19690242
250000000,715558.19690242
260000000,715558.19690242
270000000,715558.19690242
280000000,715558.19690242
290000000,715558.19690242
300000000,715558.19690242
310000000,715558.19690242
315576000,715558.19690242
