time,axial_pow_24
0,0
10000000,3483585.8252246
20000000,3483585.8252246
30000000,3483585.8252246
40000000,3483585.8252246
50000000,3483585.8252246
60000000,3483585.8252246
70000000,3483585.8252246
80000000,3483585.8252246
90000000,3483585.8252246
100000000,3483585.8252246
110000000,3483585.8252246
120000000,3483585.8252246
130000000,3483585.8252246
140000000,3483585.8252246
150000000,3483585.8252246
160000000,3483585.8252246
170000000,3483585.8252246
180000000,3483585.8252246
190000000,3483585.8252246
200000000,3483585.8252246
210000000,3483585.8252246
220000000,3483585.8252246
230000000,3483585.8252246
240000000,3483585.8252246
250000000,3483585.8252246
260000000,3483585.8252246
270000000,3483585.8252246
280000000,3483585.8252246
290000000,3483585.8252246
300000000,3483585.8252246
310000000,3483585.8252246
315576000,3483585.8252246
