time,axial_pow_6
0,0
10000000,3635430.739206
20000000,3635430.739206
30000000,3635430.739206
40000000,3635430.739206
50000000,3635430.739206
60000000,3635430.739206
70000000,3635430.739206
80000000,3635430.739206
90000000,3635430.739206
100000000,3635430.739206
110000000,3635430.739206
120000000,3635430.739206
130000000,3635430.739206
140000000,3635430.739206
150000000,3635430.739206
160000000,3635430.739206
170000000,3635430.739206
180000000,3635430.739206
190000000,3635430.739206
200000000,3635430.739206
210000000,3635430.739206
220000000,3635430.739206
230000000,3635430.739206
240000000,3635430.739206
250000000,3635430.739206
260000000,3635430.739206
270000000,3635430.739206
280000000,3635430.739206
290000000,3635430.739206
300000000,3635430.739206
310000000,3635430.739206
315576000,3635430.739206
