time,axial_pressure_18
0,0
10000000,1051903.0188042
20000000,687797.6140538
30000000,1052111.7447154
40000000,1051902.2600743
50000000,1051903.2897165
60000000,1051903.2897165
70000000,1051903.2897165
80000000,1051903.2897165
90000000,1051903.2897165
100000000,1051903.2897165
110000000,1051903.2897165
120000000,1051903.2897165
130000000,1051903.2897165
140000000,1051903.2897165
150000000,1051903.2897165
160000000,1051903.2897165
170000000,1051903.2897165
180000000,1051903.2897165
190000000,1051903.2897165
200000000,1051903.2897165
210000000,1051903.2897165
220000000,1051903.2897165
230000000,1051903.2897165
240000000,1051903.2897165
250000000,1051903.2897165
260000000,1051903.2897165
270000000,1051903.2897165
280000000,1051903.2897165
290000000,1051903.2897165
300000000,1051903.2897165
310000000,1051903.2897165
315576000,1051903.2897165
