T_solid,id,x,y,z
813.05659329608,0,0,0,0
813.05659411224,1,0,0.0008,0
813.05659601663,2,0,0.0016,0
813.05659911806,3,0,0.0024,0
813.05660343208,4,0,0.0032,0
813.05660896387,5,0,0.004,0
813.05661571579,6,0,0.0048,0
813.05662368911,7,0,0.0056,0
813.05663288458,8,0,0.0064,0
813.0566433027,9,0,0.0072,0
813.05665494381,10,0,0.008,0
813.05640200714,23,0,0,0.01
813.05640282331,24,0,0.0008,0.01
813.0564047277,25,0,0.0016,0.01
813.05640782913,26,0,0.0024,0.01
813.05641214315,27,0,0.0032,0.01
813.05641767494,28,0,0.004,0.01
813.05642442686,29,0,0.0048,0.01
813.05643240018,30,0,0.0056,0.01
813.05644159565,31,0,0.0064,0.01
813.05645201377,32,0,0.0072,0.01
813.05646365488,33,0,0.008,0.01
813.05582814035,46,0,0,0.02
813.05582895652,47,0,0.0008,0.02
813.05583086091,48,0,0.0016,0.02
813.05583396234,49,0,0.0024,0.02
813.05583827636,50,0,0.0032,0.02
813.05584380815,51,0,0.004,0.02
813.05585056007,52,0,0.0048,0.02
813.05585853339,53,0,0.0056,0.02
813.05586772886,54,0,0.0064,0.02
813.05587814698,55,0,0.0072,0.02
813.05588978808,56,0,0.008,0.02
813.0548716957,69,0,0,0.03
813.05487251187,70,0,0.0008,0.03
813.05487441625,71,0,0.0016,0.03
813.05487751768,72,0,0.0024,0.03
813.0548818317,73,0,0.0032,0.03
813.0548873635,74,0,0.004,0.03
813.05489411542,75,0,0.0048,0.03
813.05490208873,76,0,0.0056,0.03
813.0549112842,77,0,0.0064,0.03
813.05492170232,78,0,0.0072,0.03
813.05493334343,79,0,0.008,0.03
813.05353267318,92,0,0,0.04
813.05353348935,93,0,0.0008,0.04
813.05353539374,94,0,0.0016,0.04
813.05353849517,95,0,0.0024,0.04
813.05354280919,96,0,0.0032,0.04
813.05354834098,97,0,0.004,0.04
813.0535550929,98,0,0.0048,0.04
813.05356306622,99,0,0.0056,0.04
813.05357226169,100,0,0.0064,0.04
813.05358267981,101,0,0.0072,0.04
813.05359432091,102,0,0.008,0.04
813.05181107281,115,0,0,0.05
813.05181188897,116,0,0.0008,0.05
813.05181379336,117,0,0.0016,0.05
813.05181689479,118,0,0.0024,0.05
813.05182120881,119,0,0.0032,0.05
813.05182674061,120,0,0.004,0.05
813.05183349253,121,0,0.0048,0.05
813.05184146584,122,0,0.0056,0.05
813.05185066131,123,0,0.0064,0.05
813.05186107943,124,0,0.0072,0.05
813.05187272054,125,0,0.008,0.05
813.04970689457,138,0,0,0.06
