time,axial_pressure_2
0,0
10000000,569061.67408361
20000000,290796.93321171
30000000,569398.28774444
40000000,569060.76449108
50000000,569061.91778077
60000000,569061.91778077
70000000,569061.91778077
80000000,569061.91778077
90000000,569061.91778077
100000000,569061.91778077
110000000,569061.91778077
120000000,569061.91778077
130000000,569061.91778077
140000000,569061.91778077
150000000,569061.91778077
160000000,569061.91778077
170000000,569061.91778077
180000000,569061.91778077
190000000,569061.91778077
200000000,569061.91778077
210000000,569061.91778077
220000000,569061.91778077
230000000,569061.91778077
240000000,569061.91778077
250000000,569061.91778077
260000000,569061.91778077
270000000,569061.91778077
280000000,569061.91778077
290000000,569061.91778077
300000000,569061.91778077
310000000,569061.91778077
315576000,569061.91778077
