time,axial_pressure_24
0,0
10000000,863350.43704693
20000000,541782.49054234
30000000,863571.07827609
40000000,863349.51974914
50000000,863350.66681026
60000000,863350.66681026
70000000,863350.66681026
80000000,863350.66681026
90000000,863350.66681026
100000000,863350.66681026
110000000,863350.66681026
120000000,863350.66681026
130000000,863350.66681026
140000000,863350.66681026
150000000,863350.66681026
160000000,863350.66681026
170000000,863350.66681026
180000000,863350.66681026
190000000,863350.66681026
200000000,863350.66681026
210000000,863350.66681026
220000000,863350.66681026
230000000,863350.66681026
240000000,863350.66681026
250000000,863350.66681026
260000000,863350.66681026
270000000,863350.66681026
280000000,863350.66681026
290000000,863350.66681026
300000000,863350.66681026
310000000,863350.66681026
315576000,863350.66681026
