T_solid,id,x,y,z
813.99053381007,18,0,0.0097,0
814.13144694575,19,0,0.0099,0
814.26954196434,20,0,0.0101,0
814.40492938304,21,0,0.0103,0
814.53771334309,22,0,0.0105,0
813.99034252114,41,0,0.0097,0.01
814.13125565682,42,0,0.0099,0.01
814.2693506754,43,0,0.0101,0.01
814.4047380941,44,0,0.0103,0.01
814.53752205415,45,0,0.0105,0.01
813.98976865433,64,0,0.0097,0.02
814.13068179002,65,0,0.0099,0.02
814.2687768086,66,0,0.0101,0.02
814.4041642273,67,0,0.0103,0.02
814.53694818735,68,0,0.0105,0.02
813.98881220966,87,0,0.0097,0.03
814.12972534535,88,0,0.0099,0.03
814.26782036393,89,0,0.0101,0.03
814.40320778263,90,0,0.0103,0.03
814.53599174268,91,0,0.0105,0.03
813.98747318713,110,0,0.0097,0.04
814.12838632281,111,0,0.0099,0.04
814.26648134139,112,0,0.0101,0.04
814.40186876009,113,0,0.0103,0.04
814.53465272013,114,0,0.0105,0.04
813.98575158672,133,0,0.0097,0.05
814.1266647224,134,0,0.0099,0.05
814.26475974098,135,0,0.0101,0.05
814.40014715968,136,0,0.0103,0.05
814.53293111972,137,0,0.0105,0.05
813.98364740845,156,0,0.0097,0.06
814.12456054413,157,0,0.0099,0.06
814.2626555627,158,0,0.0101,0.06
814.3980429814,159,0,0.0103,0.06
814.53082694144,160,0,0.0105,0.06
813.98116065231,179,0,0.0097,0.07
814.12207378798,180,0,0.0099,0.07
814.26016880655,181,0,0.0101,0.07
814.39555622525,182,0,0.0103,0.07
814.5283401853,183,0,0.0105,0.07
813.9782913183,202,0,0.0097,0.08
814.11920445397,203,0,0.0099,0.08
814.25729947254,204,0,0.0101,0.08
814.39268689123,205,0,0.0103,0.08
814.52547085128,206,0,0.0105,0.08
813.97503940643,225,0,0.0097,0.09
814.11595254209,226,0,0.0099,0.09
814.25404756065,227,0,0.0101,0.09
814.38943497935,228,0,0.0103,0.09
814.52221893939,229,0,0.0105,0.09
813.97140491669,248,0,0.0097,0.1
814.11231805234,249,0,0.0099,0.1
814.2504130709,250,0,0.0101,0.1
814.38580048959,251,0,0.0103,0.1
814.51858444964,252,0,0.0105,0.1
813.96738784907,271,0,0.0097,0.11
814.10830098472,272,0,0.0099,0.11
814.24639600328,273,0,0.0101,0.11
814.38178342197,274,0,0.0103,0.11
814.51456738201,275,0,0.0105,0.11
813.9629882036,294,0,0.0097,0.12
814.10390133924,295,0,0.0099,0.12
814.24199635779,296,0,0.0101,0.12
814.37738377648,297,0,0.0103,0.12
814.51016773652,298,0,0.0105,0.12
813.95820598025,317,0,0.0097,0.13
814.09911911589,318,0,0.0099,0.13
814.23721413443,319,0,0.0101,0.13
814.37260155312,320,0,0.0103,0.13
814.50538551316,321,0,0.0105,0.13
813.95304117904,340,0,0.0097,0.14
814.09395431467,341,0,0.0099,0.14
814.23204933321,342,0,0.0101,0.14
814.36743675189,343,0,0.0103,0.14
814.50022071193,344,0,0.0105,0.14
813.94749379996,363,0,0.0097,0.15
814.08840693558,364,0,0.0099,0.15
814.22650195411,365,0,0.0101,0.15
814.36188937279,366,0,0.0103,0.15
814.49467333283,367,0,0.0105,0.15
813.94156384301,386,0,0.0097,0.16
814.08247697862,387,0,0.0099,0.16
814.22057199715,388,0,0.0101,0.16
814.35595941582,389,0,0.0103,0.16
814.48874337586,390,0,0.0105,0.16
813.9352513082,409,0,0.0097,0.17
814.0761644438,410,0,0.0099,0.17
814.21425946232,411,0,0.0101,0.17
814.34964688099,412,0,0.0103,0.17
814.48243084103,413,0,0.0105,0.17
813.92855619551,432,0,0.0097,0.18
814.06946933111,433,0,0.0099,0.18
814.20756434962,434,0,0.0101,0.18
814.34295176828,435,0,0.0103,0.18
814.47573572832,436,0,0.0105,0.18
813.92147850497,455,0,0.0097,0.19
814.06239164055,456,0,0.0099,0.19
814.20048665905,457,0,0.0101,0.19
814.33587407771,458,0,0.0103,0.19
814.46865803775,459,0,0.0105,0.19
813.91401823655,478,0,0.0097,0.2
814.05493137212,479,0,0.0099,0.2
814.19302639062,480,0,0.0101,0.2
814.32841380927,481,0,0.0103,0.2
814.46119776931,482,0,0.0105,0.2
813.90617539027,501,0,0.0097,0.21
814.04708852582,502,0,0.0099,0.21
814.18518354432,503,0,0.0101,0.21
814.32057096296,504,0,0.0103,0.21
814.453354923,505,0,0.0105,0.21
813.89794996612,524,0,0.0097,0.22
814.03886310166,525,0,0.0099,0.22
814.17695812014,526,0,0.0101,0.22
814.31234553879,527,0,0.0103,0.22
814.44512949882,528,0,0.0105,0.22
813.8893419641,547,0,0.0097,0.23
814.03025509963,548,0,0.0099,0.23
814.1683501181,549,0,0.0101,0.23
814.30373753674,550,0,0.0103,0.23
814.43652149677,551,0,0.0105,0.23
813.88035138421,570,0,0.0097,0.24
814.02126451973,571,0,0.0099,0.24
814.1593595382,572,0,0.0101,0.24
814.29474695683,573,0,0.0103,0.24
814.42753091686,574,0,0.0105,0.24
813.87097822646,593,0,0.0097,0.25
814.01189136197,594,0,0.0099,0.25
814.14998638042,595,0,0.0101,0.25
814.28537379905,596,0,0.0103,0.25
814.41815775908,597,0,0.0105,0.25
813.86122249085,616,0,0.0097,0.26
814.00213562634,617,0,0.0099,0.26
814.14023064478,618,0,0.0101,0.26
814.2756180634,619,0,0.0103,0.26
814.40840202342,620,0,0.0105,0.26
813.85108417736,639,0,0.0097,0.27
813.99199731284,640,0,0.0099,0.27
814.13009233127,641,0,0.0101,0.27
814.26547974988,642,0,0.0103,0.27
814.39826370991,643,0,0.0105,0.27
813.84056328601,662,0,0.0097,0.28
813.98147642147,663,0,0.0099,0.28
814.11957143989,664,0,0.0101,0.28
814.2549588585,665,0,0.0103,0.28
814.38774281852,666,0,0.0105,0.28
813.82965981679,685,0,0.0097,0.29
813.97057295224,686,0,0.0099,0.29
814.10866797065,687,0,0.0101,0.29
814.24405538925,688,0,0.0103,0.29
814.37683934927,689,0,0.0105,0.29
813.81837376971,708,0,0.0097,0.3
813.95928690514,709,0,0.0099,0.3
814.09738192353,710,0,0.0101,0.3
814.23276934213,711,0,0.0103,0.3
814.36555330214,712,0,0.0105,0.3
813.80670514476,731,0,0.0097,0.31
813.94761828017,732,0,0.0099,0.31
814.08571329855,733,0,0.0101,0.31
814.22110071714,734,0,0.0103,0.31
814.35388467715,735,0,0.0105,0.31
813.79465394194,754,0,0.0097,0.32
813.93556707733,755,0,0.0099,0.32
814.07366209571,756,0,0.0101,0.32
814.20904951429,757,0,0.0103,0.32
814.3418334743,758,0,0.0105,0.32
813.78222016126,777,0,0.0097,0.33
813.92313329663,778,0,0.0099,0.33
814.06122831499,779,0,0.0101,0.33
814.19661573357,780,0,0.0103,0.33
814.32939969357,781,0,0.0105,0.33
813.76940380272,800,0,0.0097,0.34
