time,axial_pressure_21
0,0
10000000,981349.6653677
20000000,630647.79527404
30000000,981585.30366206
40000000,981348.72868837
50000000,981349.921839
60000000,981349.921839
70000000,981349.921839
80000000,981349.921839
90000000,981349.921839
100000000,981349.921839
110000000,981349.921839
120000000,981349.921839
130000000,981349.921839
140000000,981349.921839
150000000,981349.921839
160000000,981349.921839
170000000,981349.921839
180000000,981349.921839
190000000,981349.921839
200000000,981349.921839
210000000,981349.921839
220000000,981349.921839
230000000,981349.921839
240000000,981349.921839
250000000,981349.921839
260000000,981349.921839
270000000,981349.921839
280000000,981349.921839
290000000,981349.921839
300000000,981349.921839
310000000,981349.921839
315576000,981349.921839
