time,axial_pow_30
0,0
10000000,2124230.0473881
20000000,2124230.0473881
30000000,2124230.0473881
40000000,2124230.0473881
50000000,2124230.0473881
60000000,2124230.0473881
70000000,2124230.0473881
80000000,2124230.0473881
90000000,2124230.0473881
100000000,2124230.0473881
110000000,2124230.0473881
120000000,2124230.0473881
130000000,2124230.0473881
140000000,2124230.0473881
150000000,2124230.0473881
160000000,2124230.0473881
170000000,2124230.0473881
180000000,2124230.0473881
190000000,2124230.0473881
200000000,2124230.0473881
210000000,2124230.0473881
220000000,2124230.0473881
230000000,2124230.0473881
240000000,2124230.0473881
250000000,2124230.0473881
260000000,2124230.0473881
270000000,2124230.0473881
280000000,2124230.0473881
290000000,2124230.0473881
300000000,2124230.0473881
310000000,2124230.0473881
315576000,2124230.0473881
