time,axial_pow_9
0,0
10000000,4078523.3137489
20000000,4078523.3137489
30000000,4078523.3137489
40000000,4078523.3137489
50000000,4078523.3137489
60000000,4078523.3137489
70000000,4078523.3137489
80000000,4078523.3137489
90000000,4078523.3137489
100000000,4078523.3137489
110000000,4078523.3137489
120000000,4078523.3137489
130000000,4078523.3137489
140000000,4078523.3137489
150000000,4078523.3137489
160000000,4078523.3137489
170000000,4078523.3137489
180000000,4078523.3137489
190000000,4078523.3137489
200000000,4078523.3137489
210000000,4078523.3137489
220000000,4078523.3137489
230000000,4078523.3137489
240000000,4078523.3137489
250000000,4078523.3137489
260000000,4078523.3137489
270000000,4078523.3137489
280000000,4078523.3137489
290000000,4078523.3137489
300000000,4078523.3137489
310000000,4078523.3137489
315576000,4078523.3137489
