time,axial_pow_18
0,0
10000000,4293826.0431463
20000000,4293826.0431463
30000000,4293826.0431463
40000000,4293826.0431463
50000000,4293826.0431463
60000000,4293826.0431463
70000000,4293826.0431463
80000000,4293826.0431463
90000000,4293826.0431463
100000000,4293826.0431463
110000000,4293826.0431463
120000000,4293826.0431463
130000000,4293826.0431463
140000000,4293826.0431463
150000000,4293826.0431463
160000000,4293826.0431463
170000000,4293826.0431463
180000000,4293826.0431463
190000000,4293826.0431463
200000000,4293826.0431463
210000000,4293826.0431463
220000000,4293826.0431463
230000000,4293826.0431463
240000000,4293826.0431463
250000000,4293826.0431463
260000000,4293826.0431463
270000000,4293826.0431463
280000000,4293826.0431463
290000000,4293826.0431463
300000000,4293826.0431463
310000000,4293826.0431463
315576000,4293826.0431463
