time,axial_pressure_11
0,0
10000000,1075395.4964587
20000000,685570.22595413
30000000,1075632.8429376
40000000,1075394.6992839
50000000,1075395.7715593
60000000,1075395.7715593
70000000,1075395.7715593
80000000,1075395.7715593
90000000,1075395.7715593
100000000,1075395.7715593
110000000,1075395.7715593
120000000,1075395.7715593
130000000,1075395.7715593
140000000,1075395.7715593
150000000,1075395.7715593
160000000,1075395.7715593
170000000,1075395.7715593
180000000,1075395.7715593
190000000,1075395.7715593
200000000,1075395.7715593
210000000,1075395.7715593
220000000,1075395.7715593
230000000,1075395.7715593
240000000,1075395.7715593
250000000,1075395.7715593
260000000,1075395.7715593
270000000,1075395.7715593
280000000,1075395.7715593
290000000,1075395.7715593
300000000,1075395.7715593
310000000,1075395.7715593
315576000,1075395.7715593
