time,axial_pow_27
0,0
10000000,2837942.7177491
20000000,2837942.7177491
30000000,2837942.7177491
40000000,2837942.7177491
50000000,2837942.7177491
60000000,2837942.7177491
70000000,2837942.7177491
80000000,2837942.7177491
90000000,2837942.7177491
100000000,2837942.7177491
110000000,2837942.7177491
120000000,2837942.7177491
130000000,2837942.7177491
140000000,2837942.7177491
150000000,2837942.7177491
160000000,2837942.7177491
170000000,2837942.7177491
180000000,2837942.7177491
190000000,2837942.7177491
200000000,2837942.7177491
210000000,2837942.7177491
220000000,2837942.7177491
230000000,2837942.7177491
240000000,2837942.7177491
250000000,2837942.7177491
260000000,2837942.7177491
270000000,2837942.7177491
280000000,2837942.7177491
290000000,2837942.7177491
300000000,2837942.7177491
310000000,2837942.7177491
315576000,2837942.7177491
