time,axial_pow_20
0,0
10000000,4104272.2833194
20000000,4104272.2833194
30000000,4104272.2833194
40000000,4104272.2833194
50000000,4104272.2833194
60000000,4104272.2833194
70000000,4104272.2833194
80000000,4104272.2833194
90000000,4104272.2833194
100000000,4104272.2833194
110000000,4104272.2833194
120000000,4104272.2833194
130000000,4104272.2833194
140000000,4104272.2833194
150000000,4104272.2833194
160000000,4104272.2833194
170000000,4104272.2833194
180000000,4104272.2833194
190000000,4104272.2833194
200000000,4104272.2833194
210000000,4104272.2833194
220000000,4104272.2833194
230000000,4104272.2833194
240000000,4104272.2833194
250000000,4104272.2833194
260000000,4104272.2833194
270000000,4104272.2833194
280000000,4104272.2833194
290000000,4104272.2833194
300000000,4104272.2833194
310000000,4104272.2833194
315576000,4104272.2833194
