time,axial_pressure_22
0,0
10000000,946404.21351695
20000000,604338.9885776
30000000,946645.97418954
40000000,946403.18389379
50000000,946404.46204351
60000000,946404.46204351
70000000,946404.46204351
80000000,946404.46204351
90000000,946404.46204351
100000000,946404.46204351
110000000,946404.46204351
120000000,946404.46204351
130000000,946404.46204351
140000000,946404.46204351
150000000,946404.46204351
160000000,946404.46204351
170000000,946404.46204351
180000000,946404.46204351
190000000,946404.46204351
200000000,946404.46204351
210000000,946404.46204351
220000000,946404.46204351
230000000,946404.46204351
240000000,946404.46204351
250000000,946404.46204351
260000000,946404.46204351
270000000,946404.46204351
280000000,946404.46204351
290000000,946404.46204351
300000000,946404.46204351
310000000,946404.46204351
315576000,946404.46204351
