time,axial_pressure_32
0,0
10000000,828262.44469876
20000000,323013.75829239
30000000,828850.14579165
40000000,828259.47550959
50000000,828262.60517579
60000000,828262.60517579
70000000,828262.60517579
80000000,828262.60517579
90000000,828262.60517579
100000000,828262.60517579
110000000,828262.60517579
120000000,828262.60517579
130000000,828262.60517579
140000000,828262.60517579
150000000,828262.60517579
160000000,828262.60517579
170000000,828262.60517579
180000000,828262.60517579
190000000,828262.60517579
200000000,828262.60517579
210000000,828262.60517579
220000000,828262.60517579
230000000,828262.60517579
240000000,828262.60517579
250000000,828262.60517579
260000000,828262.60517579
270000000,828262.60517579
280000000,828262.60517579
290000000,828262.60517579
300000000,828262.60517579
310000000,828262.60517579
315576000,828262.60517579
