time,axial_pow_12
0,0
10000000,4345154.6626404
20000000,4345154.6626404
30000000,4345154.6626404
40000000,4345154.6626404
50000000,4345154.6626404
60000000,4345154.6626404
70000000,4345154.6626404
80000000,4345154.6626404
90000000,4345154.6626404
100000000,4345154.6626404
110000000,4345154.6626404
120000000,4345154.6626404
130000000,4345154.6626404
140000000,4345154.6626404
150000000,4345154.6626404
160000000,4345154.6626404
170000000,4345154.6626404
180000000,4345154.6626404
190000000,4345154.6626404
200000000,4345154.6626404
210000000,4345154.6626404
220000000,4345154.6626404
230000000,4345154.6626404
240000000,4345154.6626404
250000000,4345154.6626404
260000000,4345154.6626404
270000000,4345154.6626404
280000000,4345154.6626404
290000000,4345154.6626404
300000000,4345154.6626404
310000000,4345154.6626404
315576000,4345154.6626404
