time,axial_pow_21
0,0
10000000,3977889.2719269
20000000,3977889.2719269
30000000,3977889.2719269
40000000,3977889.2719269
50000000,3977889.2719269
60000000,3977889.2719269
70000000,3977889.2719269
80000000,3977889.2719269
90000000,3977889.2719269
100000000,3977889.2719269
110000000,3977889.2719269
120000000,3977889.2719269
130000000,3977889.2719269
140000000,3977889.2719269
150000000,3977889.2719269
160000000,3977889.2719269
170000000,3977889.2719269
180000000,3977889.2719269
190000000,3977889.2719269
200000000,3977889.2719269
210000000,3977889.2719269
220000000,3977889.2719269
230000000,3977889.2719269
240000000,3977889.2719269
250000000,3977889.2719269
260000000,3977889.2719269
270000000,3977889.2719269
280000000,3977889.2719269
290000000,3977889.2719269
300000000,3977889.2719269
310000000,3977889.2719269
315576000,3977889.2719269
