time,axial_temp_7
0,0
10000000,828.24816474576
20000000,842.29043936578
30000000,842.27976572167
40000000,842.27981398041
50000000,842.27981398041
60000000,842.27981398041
70000000,842.27981398041
80000000,842.27981398041
90000000,842.27981398041
100000000,842.27981398041
110000000,842.27981398041
120000000,842.27981398041
130000000,842.27981398041
140000000,842.27981398041
150000000,842.27981398041
160000000,842.27981398041
170000000,842.27981398041
180000000,842.27981398041
190000000,842.27981398041
200000000,842.27981398041
210000000,842.27981398041
220000000,842.27981398041
230000000,842.27981398041
240000000,842.27981398041
250000000,842.27981398041
260000000,842.27981398041
270000000,842.27981398041
280000000,842.27981398041
290000000,842.27981398041
300000000,842.27981398041
310000000,842.27981398041
315576000,842.27981398041
