time,axial_pow_28
0,0
10000000,2598454.8226598
20000000,2598454.8226598
30000000,2598454.8226598
40000000,2598454.8226598
50000000,2598454.8226598
60000000,2598454.8226598
70000000,2598454.8226598
80000000,2598454.8226598
90000000,2598454.8226598
100000000,2598454.8226598
110000000,2598454.8226598
120000000,2598454.8226598
130000000,2598454.8226598
140000000,2598454.8226598
150000000,2598454.8226598
160000000,2598454.8226598
170000000,2598454.8226598
180000000,2598454.8226598
190000000,2598454.8226598
200000000,2598454.8226598
210000000,2598454.8226598
220000000,2598454.8226598
230000000,2598454.8226598
240000000,2598454.8226598
250000000,2598454.8226598
260000000,2598454.8226598
270000000,2598454.8226598
280000000,2598454.8226598
290000000,2598454.8226598
300000000,2598454.8226598
310000000,2598454.8226598
315576000,2598454.8226598
