time,axial_pressure_13
0,0
10000000,1087523.5095077
20000000,705950.43991956
30000000,1087755.9101624
40000000,1087522.6831259
50000000,1087523.7871048
60000000,1087523.7871048
70000000,1087523.7871048
80000000,1087523.7871048
90000000,1087523.7871048
100000000,1087523.7871048
110000000,1087523.7871048
120000000,1087523.7871048
130000000,1087523.7871048
140000000,1087523.7871048
150000000,1087523.7871048
160000000,1087523.7871048
170000000,1087523.7871048
180000000,1087523.7871048
190000000,1087523.7871048
200000000,1087523.7871048
210000000,1087523.7871048
220000000,1087523.7871048
230000000,1087523.7871048
240000000,1087523.7871048
250000000,1087523.7871048
260000000,1087523.7871048
270000000,1087523.7871048
280000000,1087523.7871048
290000000,1087523.7871048
300000000,1087523.7871048
310000000,1087523.7871048
315576000,1087523.7871048
