time,axial_pow_19
0,0
10000000,4209288.0359107
20000000,4209288.0359107
30000000,4209288.0359107
40000000,4209288.0359107
50000000,4209288.0359107
60000000,4209288.0359107
70000000,4209288.0359107
80000000,4209288.0359107
90000000,4209288.0359107
100000000,4209288.0359107
110000000,4209288.0359107
120000000,4209288.0359107
130000000,4209288.0359107
140000000,4209288.0359107
150000000,4209288.0359107
160000000,4209288.0359107
170000000,4209288.0359107
180000000,4209288.0359107
190000000,4209288.0359107
200000000,4209288.0359107
210000000,4209288.0359107
220000000,4209288.0359107
230000000,4209288.0359107
240000000,4209288.0359107
250000000,4209288.0359107
260000000,4209288.0359107
270000000,4209288.0359107
280000000,4209288.0359107
290000000,4209288.0359107
300000000,4209288.0359107
310000000,4209288.0359107
315576000,4209288.0359107
