time,axial_pow_29
0,0
10000000,2355496.7717926
20000000,2355496.7717926
30000000,2355496.7717926
40000000,2355496.7717926
50000000,2355496.7717926
60000000,2355496.7717926
70000000,2355496.7717926
80000000,2355496.7717926
90000000,2355496.7717926
100000000,2355496.7717926
110000000,2355496.7717926
120000000,2355496.7717926
130000000,2355496.7717926
140000000,2355496.7717926
150000000,2355496.7717926
160000000,2355496.7717926
170000000,2355496.7717926
180000000,2355496.7717926
190000000,2355496.7717926
200000000,2355496.7717926
210000000,2355496.7717926
220000000,2355496.7717926
230000000,2355496.7717926
240000000,2355496.7717926
250000000,2355496.7717926
260000000,2355496.7717926
270000000,2355496.7717926
280000000,2355496.7717926
290000000,2355496.7717926
300000000,2355496.7717926
310000000,2355496.7717926
315576000,2355496.7717926
