time,axial_pressure_23
0,0
10000000,907419.96435681
20000000,574649.18728138
30000000,907650.84050005
40000000,907419.09797059
50000000,907420.20385257
60000000,907420.20385257
70000000,907420.20385257
80000000,907420.20385257
90000000,907420.20385257
100000000,907420.20385257
110000000,907420.20385257
120000000,907420.20385257
130000000,907420.20385257
140000000,907420.20385257
150000000,907420.20385257
160000000,907420.20385257
170000000,907420.20385257
180000000,907420.20385257
190000000,907420.20385257
200000000,907420.20385257
210000000,907420.20385257
220000000,907420.20385257
230000000,907420.20385257
240000000,907420.20385257
250000000,907420.20385257
260000000,907420.20385257
270000000,907420.20385257
280000000,907420.20385257
290000000,907420.20385257
300000000,907420.20385257
310000000,907420.20385257
315576000,907420.20385257
