time,axial_pow_7
0,0
10000000,3800074.7849518
20000000,3800074.7849518
30000000,3800074.7849518
40000000,3800074.7849518
50000000,3800074.7849518
60000000,3800074.7849518
70000000,3800074.7849518
80000000,3800074.7849518
90000000,3800074.7849518
100000000,3800074.7849518
110000000,3800074.7849518
120000000,3800074.7849518
130000000,3800074.7849518
140000000,3800074.7849518
150000000,3800074.7849518
160000000,3800074.7849518
170000000,3800074.7849518
180000000,3800074.7849518
190000000,3800074.7849518
200000000,3800074.7849518
210000000,3800074.7849518
220000000,3800074.7849518
230000000,3800074.7849518
240000000,3800074.7849518
250000000,3800074.7849518
260000000,3800074.7849518
270000000,3800074.7849518
280000000,3800074.7849518
290000000,3800074.7849518
300000000,3800074.7849518
310000000,3800074.7849518
315576000,3800074.7849518
