time,axial_pressure_4
0,0
10000000,908249.7207965
20000000,507970.46364948
30000000,908568.14956844
40000000,908249.15534244
50000000,908249.96146579
60000000,908249.96146579
70000000,908249.96146579
80000000,908249.96146579
90000000,908249.96146579
100000000,908249.96146579
110000000,908249.96146579
120000000,908249.96146579
130000000,908249.96146579
140000000,908249.96146579
150000000,908249.96146579
160000000,908249.96146579
170000000,908249.96146579
180000000,908249.96146579
190000000,908249.96146579
200000000,908249.96146579
210000000,908249.96146579
220000000,908249.96146579
230000000,908249.96146579
240000000,908249.96146579
250000000,908249.96146579
260000000,908249.96146579
270000000,908249.96146579
280000000,908249.96146579
290000000,908249.96146579
300000000,908249.96146579
310000000,908249.96146579
315576000,908249.96146579
