time,axial_pressure_1,axial_pressure_10,axial_pressure_11,axial_pressure_12,axial_pressure_13,axial_pressure_14,axial_pressure_15,axial_pressure_16,axial_pressure_17,axial_pressure_18,axial_pressure_19,axial_pressure_2,axial_pressure_20,axial_pressure_21,axial_pressure_22,axial_pressure_23,axial_pressure_24,axial_pressure_25,axial_pressure_26,axial_pressure_27,axial_pressure_28,axial_pressure_29,axial_pressure_3,axial_pressure_30,axial_pressure_31,axial_pressure_32,axial_pressure_4,axial_pressure_5,axial_pressure_6,axial_pressure_7,axial_pressure_8,axial_pressure_9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000000,-52813138.928681,-18924923.816162,-18924870.595859,-18924891.907091,-18924887.309278,-18924887.57675,-18924887.649962,-18924887.554325,-18924887.515551,-18924887.534264,-18924887.382054,-11820263.841946,-18924887.041378,-18924891.486979,-18924870.369079,-18924923.320652,-18924928.603377,-18924200.276041,-18928036.508869,-18915278.836199,-18954648.452754,-18758342.561804,-20104189.140303,-20114358.441166,-11798221.586323,-52898883.980445,-18761807.812954,-18953940.726302,-18915305.012721,-18928077.975815,-18924184.342373,-18924932.362437
20000000,-52813139.028153,-18924924.955836,-18924871.821781,-18924893.208719,-18924888.677019,-18924889.009464,-18924889.137747,-18924889.087236,-18924889.087435,-18924889.136818,-18924889.010733,-11820264.110581,-18924888.686101,-18924893.142043,-18924872.021419,-18924924.966923,-18924930.235099,-18924201.88463,-18928038.083511,-18915280.363387,-18954649.924956,-18758343.968356,-20104189.472653,-20114359.787257,-11798222.903834,-52898885.133384,-18761808.256883,-18953941.300069,-18915305.711747,-18928078.799911,-18924185.279974,-18924933.404139
30000000,-52813139.028153,-18924924.955836,-18924871.821781,-18924893.208719,-18924888.677019,-18924889.009464,-18924889.137747,-18924889.087236,-18924889.087435,-18924889.136818,-18924889.010733,-11820264.110581,-18924888.686101,-18924893.142043,-18924872.021419,-18924924.966923,-18924930.235099,-18924201.88463,-18928038.083511,-18915280.363387,-18954649.924956,-18758343.968356,-20104189.472653,-20114359.787257,-11798222.903834,-52898885.133384,-18761808.256883,-18953941.300069,-18915305.711747,-18928078.799911,-18924185.279974,-18924933.404139
