time,axial_pow_31
0,0
10000000,1926375.7309753
20000000,1926375.7309753
30000000,1926375.7309753
40000000,1926375.7309753
50000000,1926375.7309753
60000000,1926375.7309753
70000000,1926375.7309753
80000000,1926375.7309753
90000000,1926375.7309753
100000000,1926375.7309753
110000000,1926375.7309753
120000000,1926375.7309753
130000000,1926375.7309753
140000000,1926375.7309753
150000000,1926375.7309753
160000000,1926375.7309753
170000000,1926375.7309753
180000000,1926375.7309753
190000000,1926375.7309753
200000000,1926375.7309753
210000000,1926375.7309753
220000000,1926375.7309753
230000000,1926375.7309753
240000000,1926375.7309753
250000000,1926375.7309753
260000000,1926375.7309753
270000000,1926375.7309753
280000000,1926375.7309753
290000000,1926375.7309753
300000000,1926375.7309753
310000000,1926375.7309753
315576000,1926375.7309753
