time,axial_temp_22
0,0
10000000,828.48429629887
20000000,840.31593325572
30000000,840.30755047969
40000000,840.30759427913
50000000,840.30759427913
60000000,840.30759427913
70000000,840.30759427913
80000000,840.30759427913
90000000,840.30759427913
100000000,840.30759427913
110000000,840.30759427913
120000000,840.30759427913
130000000,840.30759427913
140000000,840.30759427913
150000000,840.30759427913
160000000,840.30759427913
170000000,840.30759427913
180000000,840.30759427913
190000000,840.30759427913
200000000,840.30759427913
210000000,840.30759427913
220000000,840.30759427913
230000000,840.30759427913
240000000,840.30759427913
250000000,840.30759427913
260000000,840.30759427913
270000000,840.30759427913
280000000,840.30759427913
290000000,840.30759427913
300000000,840.30759427913
310000000,840.30759427913
315576000,840.30759427913
