time,axial_pressure_25
0,0
10000000,817546.84148657
20000000,506097.97596275
30000000,817771.99637005
40000000,817545.82750441
50000000,817547.06101536
60000000,817547.06101536
70000000,817547.06101536
80000000,817547.06101536
90000000,817547.06101536
100000000,817547.06101536
110000000,817547.06101536
120000000,817547.06101536
130000000,817547.06101536
140000000,817547.06101536
150000000,817547.06101536
160000000,817547.06101536
170000000,817547.06101536
180000000,817547.06101536
190000000,817547.06101536
200000000,817547.06101536
210000000,817547.06101536
220000000,817547.06101536
230000000,817547.06101536
240000000,817547.06101536
250000000,817547.06101536
260000000,817547.06101536
270000000,817547.06101536
280000000,817547.06101536
290000000,817547.06101536
300000000,817547.06101536
310000000,817547.06101536
315576000,817547.06101536
