time,axial_pressure_30
0,0
10000000,576441.18579086
20000000,312352.47481059
30000000,576695.2319638
40000000,576439.91395828
50000000,576441.35122688
60000000,576441.35122688
70000000,576441.35122688
80000000,576441.35122688
90000000,576441.35122688
100000000,576441.35122688
110000000,576441.35122688
120000000,576441.35122688
130000000,576441.35122688
140000000,576441.35122688
150000000,576441.35122688
160000000,576441.35122688
170000000,576441.35122688
180000000,576441.35122688
190000000,576441.35122688
200000000,576441.35122688
210000000,576441.35122688
220000000,576441.35122688
230000000,576441.35122688
240000000,576441.35122688
250000000,576441.35122688
260000000,576441.35122688
270000000,576441.35122688
280000000,576441.35122688
290000000,576441.35122688
300000000,576441.35122688
310000000,576441.35122688
315576000,576441.35122688
