time,axial_temp_20
0,0
10000000,830.50975170905
20000000,842.91390906147
30000000,842.90534321225
40000000,842.90538391444
50000000,842.90538391444
60000000,842.90538391444
70000000,842.90538391444
80000000,842.90538391444
90000000,842.90538391444
100000000,842.90538391444
110000000,842.90538391444
120000000,842.90538391444
130000000,842.90538391444
140000000,842.90538391444
150000000,842.90538391444
160000000,842.90538391444
170000000,842.90538391444
180000000,842.90538391444
190000000,842.90538391444
200000000,842.90538391444
210000000,842.90538391444
220000000,842.90538391444
230000000,842.90538391444
240000000,842.90538391444
250000000,842.90538391444
260000000,842.90538391444
270000000,842.90538391444
280000000,842.90538391444
290000000,842.90538391444
300000000,842.90538391444
310000000,842.90538391444
315576000,842.90538391444
