time,axial_pressure_15
0,0
10000000,1084432.179554
20000000,710564.54867072
30000000,1084653.5807476
40000000,1084431.3937172
50000000,1084432.4568233
60000000,1084432.4568233
70000000,1084432.4568233
80000000,1084432.4568233
90000000,1084432.4568233
100000000,1084432.4568233
110000000,1084432.4568233
120000000,1084432.4568233
130000000,1084432.4568233
140000000,1084432.4568233
150000000,1084432.4568233
160000000,1084432.4568233
170000000,1084432.4568233
180000000,1084432.4568233
190000000,1084432.4568233
200000000,1084432.4568233
210000000,1084432.4568233
220000000,1084432.4568233
230000000,1084432.4568233
240000000,1084432.4568233
250000000,1084432.4568233
260000000,1084432.4568233
270000000,1084432.4568233
280000000,1084432.4568233
290000000,1084432.4568233
300000000,1084432.4568233
310000000,1084432.4568233
315576000,1084432.4568233
